I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
360,962,613,-657,-150,814,-517,-376,310,716,884,673
311,968,601,-672,-150,788,-513,-401,293,710,853,671
309,925,609,-635,-127,745,-490,-361,274,711,830,628
303,875,578,-586,-134,720,-485,-357,250,658,799,617
258,792,517,-543,-119,659,-443,-313,240,582,705,571
264,726,474,-484,-107,594,-380,-299,202,524,643,480
193,620,408,-417,-92,499,-340,-242,183,453,534,430
195,497,320,-330,-81,436,-273,-211,169,370,440,330
158,399,242,-267,-50,326,-208,-151,118,305,356,271
92,280,171,-203,-59,247,-162,-127,91,209,255,207
56,198,117,-121,-28,167,-118,-85,50,140,157,135
34,95,58,-51,-20,96,-63,-34,26,63,81,72
-10,3,-3,-17,-13,11,8,11,5,10,-8,11
-12,-62,-77,33,28,-62,44,17,-2,-40,-66,-64
-41,-156,-103,98,17,-121,80,69,-44,-112,-134,-97
-72,-196,-133,145,5,-149,133,93,-75,-149,-173,-132
-86,-248,-163,181,39,-179,127,95,-51,-188,-248,-156
-95,-283,-182,210,35,-232,145,117,-70,-203,-237,-187
-95,-303,-216,206,59,-261,166,117,-73,-224,-298,-208
-108,-307,-195,223,52,-259,179,129,-101,-239,-299,-227
-90,-331,-205,232,58,-299,175,118,-102,-241,-318,-232
-127,-324,-226,208,36,-283,178,122,-110,-227,-264,-223
-118,-322,-237,213,41,-281,175,129,-103,-244,-275,-220
-113,-288,-195,193,48,-243,165,131,-71,-234,-270,-220
-94,-275,-173,196,17,-229,162,94,-84,-227,-256,-186
-85,-270,-164,171,34,-224,131,91,-57,-186,-216,-202
-84,-258,-180,177,36,-213,149,91,-58,-192,-243,-153
-89,-194,-144,154,42,-163,131,91,-56,-152,-181,-155
-63,-196,-114,132,22,-154,111,61,-80,-153,-167,-157
-72,-186,-121,111,23,-133,80,81,-51,-141,-151,-109
-66,-139,-100,123,18,-107,93,55,-52,-100,-162,-109
-36,-155,-83,84,16,-111,83,73,-33,-94,-114,-99
-32,-122,-74,80,-5,-103,47,40,-36,-69,-113,-71
-36,-131,-62,66,33,-93,67,51,-33,-94,-95,-77
-23,-99,-74,77,19,-90,43,41,-21,-68,-93,-69
-43,-76,-46,60,6,-72,46,41,-15,-68,-120,-62
-30,-75,-64,50,22,-60,29,46,-35,-47,-81,-52
-9,-76,-46,57,16,-70,55,42,-16,-73,-56,-55
-47,-48,-48,29,-6,-60,31,45,-12,-50,-47,-50
-19,-80,-67,66,13,-74,37,19,-35,-69,-52,-29
-60,-55,-40,41,14,-71,36,13,-26,-48,-81,-59
