I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
369,998,650,-685,-155,822,-538,-419,312,737,900,708
340,1001,617,-661,-156,814,-547,-396,296,761,886,677
328,934,603,-631,-135,797,-514,-396,278,714,826,668
312,877,571,-579,-141,731,-475,-350,264,656,783,603
256,774,486,-536,-132,654,-438,-322,230,568,708,530
227,689,432,-440,-100,561,-368,-271,211,501,603,472
211,560,360,-378,-78,482,-313,-205,164,426,510,367
140,421,288,-290,-69,366,-229,-189,137,337,381,297
101,327,228,-207,-58,268,-184,-130,93,239,269,223
75,197,138,-140,-23,151,-104,-71,55,158,179,149
43,97,51,-75,-14,93,-69,-37,26,82,92,67
-13,5,-8,16,-41,24,1,-1,16,14,-14,26
-34,-88,-63,54,12,-98,46,47,-28,-74,-65,-46
-48,-148,-99,119,15,-110,77,52,-48,-113,-138,-106
-69,-228,-138,138,28,-180,124,76,-52,-139,-193,-142
-78,-240,-147,162,22,-195,122,86,-76,-173,-217,-164
-81,-259,-174,169,58,-247,151,115,-82,-208,-247,-199
-100,-309,-179,174,47,-262,153,111,-90,-211,-246,-196
-90,-310,-190,207,50,-229,159,113,-88,-224,-256,-205
-110,-305,-209,196,25,-238,177,118,-91,-211,-276,-221
-112,-302,-184,215,33,-240,142,113,-103,-217,-251,-188
-98,-262,-172,175,38,-219,111,103,-81,-176,-215,-172
-81,-230,-149,152,36,-191,162,99,-100,-168,-209,-147
-65,-200,-123,160,21,-179,123,75,-88,-158,-181,-157
-61,-180,-107,106,41,-163,119,90,-57,-136,-178,-122
-44,-175,-117,107,9,-135,62,69,-43,-85,-150,-86
-47,-137,-85,102,11,-127,78,46,-49,-97,-131,-95
-49,-85,-51,79,10,-82,62,87,-23,-87,-105,-106
-35,-70,-68,61,11,-98,53,31,-37,-68,-93,-80
-29,-66,-60,49,7,-51,25,54,-48,-53,-100,-78
-26,-84,-29,53,-1,-62,23,27,-17,-87,-79,-48
-24,-66,-29,29,17,-23,36,31,-12,-24,-38,-47
0,-60,-45,20,-1,-62,45,20,-12,-37,-50,-13
-31,-40,-21,24,-5,-53,26,22,-5,-39,-33,-32
