I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
396,1046,669,-720,-147,883,-582,-414,322,797,926,746
379,1050,686,-686,-163,849,-569,-416,291,786,955,732
363,984,654,-679,-139,822,-535,-406,312,755,895,696
318,940,608,-638,-139,780,-529,-371,294,705,872,665
281,853,570,-588,-114,706,-468,-337,269,649,753,617
283,767,490,-518,-124,624,-426,-305,234,581,695,537
227,628,426,-430,-98,534,-349,-244,191,500,608,446
184,546,354,-357,-90,447,-300,-206,161,393,480,387
154,412,280,-273,-47,337,-210,-181,122,290,385,284
112,310,200,-202,-55,270,-181,-131,101,240,263,192
79,208,115,-129,-38,190,-102,-71,46,142,200,130
35,76,49,-63,-34,69,-45,-49,53,89,88,71
30,-20,29,-25,8,-10,6,-10,-16,-7,4,19
-15,-82,-78,52,20,-57,38,30,-7,-49,-67,-57
-55,-157,-89,78,25,-136,97,75,-52,-121,-124,-95
-52,-212,-124,130,52,-168,120,80,-64,-154,-177,-130
-87,-238,-142,139,50,-203,132,88,-78,-179,-228,-160
-95,-266,-169,188,43,-228,151,81,-75,-207,-241,-181
-116,-269,-172,210,47,-245,163,107,-98,-236,-243,-194
-105,-287,-195,187,50,-249,176,99,-100,-216,-259,-193
-112,-304,-190,211,58,-247,157,109,-97,-191,-274,-214
-112,-265,-199,202,59,-245,173,117,-73,-202,-264,-208
-88,-280,-176,171,22,-243,178,116,-85,-202,-235,-208
-79,-252,-160,164,51,-209,145,81,-90,-197,-229,-152
-87,-234,-171,156,21,-193,141,69,-62,-192,-195,-172
-63,-210,-122,140,14,-173,98,75,-60,-141,-173,-112
-87,-179,-117,129,15,-133,94,60,-52,-135,-157,-132
-36,-158,-85,102,33,-121,79,51,-29,-98,-116,-120
-47,-149,-81,99,35,-113,66,43,-40,-84,-139,-81
-43,-105,-72,72,8,-96,59,44,-25,-86,-117,-81
-19,-103,-60,70,35,-71,52,39,-32,-50,-78,-64
-39,-85,-55,53,17,-67,33,-7,-22,-68,-60,-39
-14,-57,-23,54,0,-65,38,20,-21,-49,-82,-49
-2,-73,-36,46,-4,-43,19,36,-20,-54,-59,-36
-20,-51,-23,28,21,-30,38,5,-16,-23,-34,-40
-24,-43,-44,36,12,-55,19,9,-9,-35,-27,-50
4,-31,-21,1,16,-35,19,24,-31,-25,-50,-43
6,-32,-38,4,-7,-14,12,30,-12,-34,-23,-33
1,-26,-21,25,9,-38,22,16,-11,-28,-16,-5
0,-3,-4,0,4,-20,28,-1,-21,-39,-9,-19
-13,-43,-25,22,34,-34,-6,6,-12,-16,0,-11
-12,2,-28,-9,11,-39,-6,11,12,-11,-26,-14
-17,-17,-7,29,18,-38,24,-3,14,-24,-14,-29
-2,-28,-9,1,8,-33,16,-7,2,-11,-25,-28
9,-12,4,-4,8,-14,16,7,-15,13,-9,5
-3,-17,-21,11,8,-14,10,-2,-20,-24,-1,-2
1,-18,-26,-11,9,-18,5,15,-1,0,-13,-14
10,-11,-3,1,0,-8,0,-27,2,-12,-21,-3
7,-3,-4,5,18,-21,4,10,5,-19,-18,-20
-13,-16,-13,-3,0,-5,2,-10,-4,-2,-15,9
3,27,6,-9,-2,3,12,-18,4,-17,-16,1
5,0,23,-4,-25,5,18,19,8,2,-7,4
9,9,6,13,-2,2,1,-4,5,-10,19,8
3,17,14,-8,-12,24,2,-2,9,27,-11,2
-16,4,6,2,9,-3,-25,-9,11,13,-8,5
16,20,37,-4,-8,20,-10,-11,7,7,54,14
1,37,-6,-7,-4,25,-29,-20,19,29,48,23
