I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
338,973,639,-674,-142,813,-535,-381,304,727,873,694
329,964,622,-655,-154,804,-508,-394,299,705,846,684
336,937,613,-660,-153,769,-493,-380,281,675,840,621
309,871,584,-572,-142,713,-467,-363,236,661,758,612
283,769,517,-531,-117,635,-448,-313,231,592,702,547
227,674,444,-477,-110,570,-383,-279,211,519,631,501
204,580,367,-416,-94,497,-355,-212,174,430,526,433
176,495,332,-307,-58,407,-278,-170,145,361,445,332
132,368,248,-215,-70,285,-227,-153,105,258,343,259
87,281,174,-180,-48,220,-157,-105,73,210,240,175
59,169,84,-112,-16,131,-89,-59,47,114,118,99
28,62,47,-50,-17,69,-44,-28,15,29,59,64
-16,-24,-23,27,-2,-34,-4,0,-3,-22,-64,-37
-45,-111,-72,71,22,-69,69,39,-30,-74,-78,-64
-56,-152,-112,124,32,-158,100,74,-64,-106,-146,-112
-83,-236,-116,155,37,-180,129,113,-48,-162,-205,-125
-93,-261,-172,170,42,-209,153,90,-87,-187,-221,-169
-106,-297,-183,183,60,-242,171,136,-91,-213,-246,-182
-113,-285,-206,218,9,-236,173,132,-108,-252,-245,-184
-128,-299,-213,209,31,-250,177,98,-79,-237,-288,-195
-122,-301,-208,216,66,-266,161,154,-91,-215,-286,-198
-99,-320,-206,215,41,-255,171,126,-107,-209,-279,-206
-96,-284,-188,210,41,-229,145,90,-92,-202,-277,-193
-93,-259,-174,164,25,-233,132,103,-72,-203,-232,-163
-92,-251,-156,177,43,-183,143,119,-83,-170,-223,-172
-90,-229,-140,129,43,-188,125,83,-69,-169,-198,-177
-107,-187,-139,112,27,-168,119,88,-52,-173,-179,-147
-51,-157,-105,120,20,-144,107,64,-36,-122,-160,-124
-50,-150,-102,107,25,-152,77,37,-52,-126,-165,-103
-54,-123,-84,95,10,-133,49,40,-44,-101,-129,-80
-24,-118,-62,55,12,-94,71,33,-30,-74,-77,-85
-19,-115,-66,64,21,-83,53,49,-50,-81,-76,-70
-65,-59,-64,60,12,-72,64,32,-37,-83,-60,-59
-2,-90,-51,42,1,-70,51,33,-21,-50,-54,-53
-19,-44,-42,49,20,-50,38,38,-27,-49,-52,-36
-24,-78,-56,40,28,-68,43,14,-11,-37,-47,-38
-25,-69,-72,43,-24,-55,26,15,-33,-35,-55,-6
