I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
397,1027,677,-708,-144,868,-588,-441,333,807,968,741
366,1029,684,-701,-159,851,-570,-418,306,801,952,724
340,967,645,-686,-126,830,-548,-385,296,767,892,696
314,940,598,-620,-127,760,-506,-360,280,705,818,663
290,808,513,-551,-135,673,-465,-355,235,597,750,576
257,730,458,-478,-89,589,-379,-292,224,540,638,516
194,588,365,-399,-98,491,-328,-235,187,453,525,389
179,442,301,-318,-61,372,-233,-167,114,343,389,331
112,345,234,-223,-73,271,-169,-129,74,253,304,237
65,196,113,-110,-55,177,-123,-79,36,157,203,139
17,94,75,-85,-34,83,-47,-39,28,68,79,58
-6,9,-28,-13,-11,0,7,0,4,-20,-4,4
-38,-63,-78,58,3,-81,48,26,-38,-80,-87,-41
-59,-172,-126,112,30,-158,116,66,-29,-126,-135,-121
-86,-243,-187,138,33,-197,131,105,-58,-166,-214,-168
-88,-266,-197,177,37,-224,155,107,-69,-222,-234,-215
-116,-327,-204,229,40,-261,181,135,-99,-212,-279,-226
-106,-313,-237,209,45,-252,181,144,-112,-235,-292,-223
-110,-329,-220,233,63,-282,194,154,-74,-258,-295,-234
-125,-318,-232,229,48,-261,186,141,-84,-247,-290,-232
-114,-328,-205,218,40,-266,169,131,-74,-210,-293,-219
-84,-283,-184,198,48,-229,150,109,-92,-216,-254,-194
-102,-268,-176,177,43,-209,152,114,-89,-188,-233,-173
-85,-233,-150,168,10,-200,118,89,-78,-183,-233,-189
-86,-220,-143,137,24,-178,134,78,-80,-163,-195,-154
-69,-192,-121,140,44,-154,105,94,-69,-133,-161,-154
-64,-170,-114,117,10,-134,92,68,-40,-105,-150,-121
-62,-169,-79,92,20,-123,91,60,-25,-114,-134,-107
-34,-114,-68,92,11,-87,85,51,-46,-96,-114,-86
-41,-96,-54,50,6,-79,41,49,-42,-62,-100,-75
-48,-101,-52,62,8,-84,85,61,-27,-61,-79,-56
-24,-72,-53,47,7,-63,29,32,-32,-70,-70,-62
-30,-89,-26,24,1,-42,45,29,-48,-57,-66,-44
-21,-71,-28,36,22,-57,34,32,-34,-45,-64,-43
-20,-61,-35,54,10,-42,17,17,-5,-41,-52,-44
-12,-45,-46,13,11,-39,22,29,-1,-29,-36,-16
12,-49,-12,28,3,-48,10,40,-27,-46,-42,-25
-21,-51,-26,35,-3,-25,34,24,8,-42,-41,-21
-36,-32,-4,33,-7,-34,16,16,16,-36,-30,-41
-9,-48,-16,24,21,-29,30,10,-24,-30,-41,-39
-21,-46,1,8,10,-37,25,4,2,-44,-7,-2
-28,-22,-28,34,9,-21,43,18,-15,-38,-35,-16
-12,-25,-4,19,-1,-37,20,21,-8,-23,-38,-27
-27,-19,-18,11,8,-18,7,17,-1,-33,-27,-15
0,-4,-2,6,15,-25,19,2,-7,-12,-16,-8
-19,-14,-14,17,20,-16,5,-3,-15,-28,-17,-13
17,-3,6,5,24,-5,-14,6,21,-15,-30,-18
-1,-6,-17,-6,30,-15,7,-1,14,-8,-7,-1
10,-30,-4,-2,4,26,1,-7,-17,-14,-19,2
5,10,19,16,6,13,16,-13,4,3,-21,3
3,-15,17,0,-11,9,11,5,-4,9,-10,15
-2,0,12,-14,7,9,-10,-3,23,1,0,1
-8,-1,15,-8,-8,24,-26,-8,-1,18,13,10
-9,22,-4,-22,-6,30,-10,-10,0,22,35,15
9,43,23,-17,5,30,-34,-26,0,1,29,12
12,30,27,-20,-3,1,-24,-37,31,18,24,20
-10,44,35,-25,-4,28,-40,-14,20,35,37,11
22,19,30,-27,-6,39,-19,-24,2,26,44,17
-10,62,45,-43,5,51,-10,-16,15,29,35,28
17,67,34,-39,-15,70,-36,-24,24,44,37,49
16,80,42,-53,-12,51,-44,-24,32,53,66,31
28,84,27,-56,-21,52,-40,-43,22,53,77,41
32,82,38,-57,-11,109,-48,-35,18,75,80,72
22,85,56,-59,-7,93,-54,-25,22,74,65,50
9,107,50,-69,-9,85,-36,-37,41,83,97,63
32,124,80,-69,-12,93,-59,-44,40,69,110,71
30,122,57,-59,-9,97,-76,-41,32,95,114,86
49,139,84,-93,-13,107,-99,-67,34,107,141,84
65,127,92,-86,-3,110,-68,-46,40,90,147,85
52,147,96,-104,-24,139,-68,-63,45,124,142,110
42,170,105,-124,-21,153,-87,-59,48,94,151,118
62,189,123,-121,-14,140,-120,-83,48,137,140,114
70,170,111,-142,-21,151,-119,-52,45,126,179,127
48,201,119,-127,-18,154,-98,-72,60,141,188,155
73,181,126,-142,-29,174,-125,-88,43,151,193,129
75,221,135,-139,-30,171,-125,-76,89,167,181,158
77,212,143,-167,-49,182,-111,-86,67,176,206,159
91,236,164,-163,-16,185,-151,-103,87,177,198,177
90,250,172,-166,-26,189,-127,-87,85,175,240,144
70,259,177,-166,-41,222,-171,-85,89,182,218,193
115,261,177,-188,-37,217,-140,-103,87,194,260,182
109,294,184,-189,-30,225,-157,-106,84,214,254,212
90,291,193,-188,-63,228,-141,-118,91,212,247,196
104,329,200,-216,-44,245,-160,-116,78,213,273,207
93,301,200,-220,-40,273,-157,-127,106,238,290,221
107,315,203,-227,-38,259,-157,-144,80,246,280,191
113,331,214,-227,-38,287,-171,-123,81,258,284,222
115,340,220,-212,-26,270,-176,-113,108,235,300,237
100,336,212,-225,-33,296,-199,-116,117,254,298,239
109,365,238,-249,-35,281,-178,-144,108,261,309,255
138,350,231,-254,-56,322,-190,-135,99,271,337,234
158,345,225,-244,-64,300,-190,-125,98,269,327,261
134,362,227,-247,-49,303,-228,-138,98,278,344,237
146,370,259,-261,-60,318,-186,-145,103,278,331,255
130,363,233,-237,-53,310,-210,-147,128,261,330,241
139,395,275,-239,-47,304,-212,-145,121,273,338,299
125,380,245,-267,-50,293,-210,-151,125,278,345,257
133,396,253,-259,-63,324,-211,-138,106,294,337,258
142,395,238,-258,-53,332,-211,-133,115,297,336,278
136,389,260,-269,-50,303,-225,-156,112,318,365,278
159,378,268,-266,-54,332,-206,-144,115,287,338,271
124,375,213,-275,-62,336,-226,-181,118,305,339,285
131,396,261,-257,-69,352,-215,-169,116,284,360,276
125,391,269,-236,-59,308,-217,-159,109,280,349,261
130,376,277,-272,-57,311,-231,-156,118,272,342,249
117,391,244,-246,-48,310,-214,-153,112,297,370,277
147,362,257,-261,-72,305,-206,-142,110,265,330,268
