I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
359,1018,670,-721,-160,849,-555,-397,308,770,936,728
372,1034,669,-699,-176,841,-563,-390,306,776,910,715
348,971,650,-691,-149,833,-523,-419,294,736,900,676
338,963,607,-658,-124,798,-508,-394,291,715,859,664
316,886,589,-623,-110,757,-512,-358,274,655,792,595
289,830,521,-547,-119,660,-444,-343,251,623,748,564
276,747,474,-513,-122,604,-416,-297,220,550,640,511
221,654,424,-421,-98,526,-363,-253,187,477,571,437
200,547,350,-372,-85,450,-311,-223,163,407,491,380
188,452,298,-297,-68,378,-235,-153,132,337,423,303
124,371,218,-239,-47,304,-198,-139,114,259,320,216
105,260,140,-180,-36,215,-153,-115,71,186,233,194
60,157,127,-122,-20,158,-84,-56,64,143,157,118
-7,88,34,-54,-15,61,-43,-28,23,70,64,48
-6,2,-5,-10,-6,-5,1,-18,11,13,-7,-8
-31,-62,-40,42,9,-58,34,31,-21,-38,-61,-55
-43,-128,-77,93,26,-110,76,69,-39,-93,-141,-83
-51,-177,-125,127,37,-160,92,81,-72,-124,-169,-119
-67,-221,-150,151,16,-176,137,91,-58,-186,-221,-142
-100,-291,-159,189,39,-202,146,114,-73,-202,-238,-178
-106,-301,-180,209,23,-219,153,130,-111,-222,-258,-218
-113,-306,-223,216,53,-249,163,136,-91,-243,-282,-199
-115,-301,-195,212,50,-276,179,136,-92,-249,-303,-225
-124,-330,-216,230,47,-279,184,124,-108,-235,-298,-248
-133,-299,-203,220,64,-273,188,151,-93,-259,-300,-239
-105,-325,-205,196,60,-259,150,122,-87,-236,-281,-234
-112,-300,-191,221,54,-264,155,121,-101,-235,-291,-221
-116,-287,-169,193,26,-236,166,116,-90,-214,-268,-211
-107,-277,-166,179,44,-251,149,115,-87,-215,-234,-191
-85,-264,-164,165,42,-195,142,107,-80,-205,-219,-180
-81,-228,-175,163,32,-168,125,94,-80,-185,-211,-150
-88,-205,-143,163,14,-157,116,99,-66,-174,-187,-134
-69,-193,-128,161,22,-155,103,84,-55,-147,-159,-142
-75,-188,-125,130,34,-146,104,64,-31,-119,-156,-134
-54,-168,-129,118,23,-124,73,48,-67,-121,-148,-103
-58,-131,-66,100,28,-133,64,79,-65,-101,-127,-97
-52,-132,-85,88,38,-94,51,39,-33,-104,-128,-47
-53,-105,-98,70,21,-121,63,58,-25,-89,-100,-71
-50,-100,-66,87,14,-76,65,46,-7,-82,-76,-71
-42,-103,-83,65,7,-73,51,53,-23,-91,-67,-64
-7,-89,-65,59,29,-70,46,30,-27,-76,-54,-54
-39,-86,-48,60,-35,-54,47,51,-31,-52,-68,-78
-31,-62,-50,32,26,-72,51,52,-21,-55,-60,-44
-9,-71,-40,46,18,-56,40,11,-19,-64,-58,-38
-6,-57,-49,34,12,-43,28,26,-18,-45,-59,-37
-14,-67,-47,32,-9,-53,40,40,-15,-57,-47,-48
-10,-75,-50,25,0,-53,24,43,-31,-58,-68,-29
