I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
370,1033,674,-700,-146,850,-552,-425,317,767,929,731
364,1019,647,-697,-163,833,-540,-416,301,767,917,694
350,990,636,-657,-161,827,-510,-395,281,740,887,696
321,930,600,-635,-129,791,-507,-378,276,695,833,681
293,871,556,-608,-134,707,-489,-326,249,651,795,605
276,782,526,-530,-123,651,-433,-307,240,569,693,543
236,673,440,-481,-112,568,-390,-273,202,487,600,483
230,576,380,-389,-80,480,-339,-241,178,463,537,390
171,456,325,-332,-57,409,-294,-194,147,374,408,334
140,388,241,-268,-43,313,-203,-157,135,272,325,256
79,268,167,-179,-20,202,-138,-80,76,212,242,193
50,159,98,-114,-22,161,-76,-67,36,132,135,116
27,67,29,-44,-8,42,-41,-15,18,58,54,48
-12,-27,-6,23,-5,-1,10,35,-3,-13,-28,-11
-40,-84,-45,72,4,-66,55,11,-33,-56,-86,-81
-50,-158,-80,102,19,-108,75,66,-31,-127,-136,-90
-63,-198,-136,131,50,-159,103,63,-77,-152,-171,-152
-95,-265,-168,165,42,-227,142,96,-89,-197,-210,-178
-87,-276,-188,196,45,-240,156,117,-93,-220,-274,-196
-106,-322,-198,221,65,-261,167,145,-104,-254,-284,-225
-105,-330,-209,199,61,-289,172,145,-90,-234,-308,-228
-118,-335,-212,242,38,-287,175,132,-100,-250,-299,-237
-127,-334,-241,219,68,-289,190,143,-111,-272,-315,-250
-112,-324,-205,212,61,-276,190,142,-105,-233,-297,-236
-114,-324,-213,216,46,-260,173,110,-92,-246,-276,-201
-94,-301,-203,211,54,-240,180,102,-89,-240,-273,-226
-108,-273,-187,196,48,-228,162,99,-86,-224,-260,-208
-108,-263,-157,169,35,-195,139,93,-80,-190,-224,-172
-93,-235,-153,188,24,-200,135,101,-86,-187,-224,-173
-97,-230,-123,167,60,-172,125,86,-72,-173,-198,-156
-69,-208,-118,123,27,-154,108,64,-66,-128,-170,-136
-67,-179,-113,140,9,-140,103,68,-51,-109,-164,-108
-74,-152,-107,119,21,-142,68,54,-42,-113,-129,-104
-31,-120,-69,83,30,-109,72,53,-34,-97,-103,-67
-61,-136,-83,85,27,-100,67,45,-51,-91,-128,-95
-17,-99,-60,88,31,-105,47,60,-36,-108,-104,-80
-26,-81,-50,53,15,-76,54,40,-28,-75,-85,-79
-17,-81,-49,56,-2,-78,46,32,-36,-51,-82,-76
-37,-97,-77,62,5,-78,55,31,-6,-38,-55,-57
-21,-76,-75,67,12,-62,38,34,-37,-69,-53,-54
-26,-85,-49,54,-6,-64,57,33,-17,-35,-74,-47
-28,-58,-30,55,16,-70,44,12,-9,-21,-74,-65
-52,-74,-53,49,2,-57,40,14,-2,-54,-51,-45
-5,-66,-46,62,10,-49,24,27,0,-48,-56,-39
-19,-102,-32,38,13,-69,37,30,-21,-41,-45,-43
-38,-62,-44,22,7,-43,51,15,-35,-64,-33,-37
7,-60,-56,22,13,-36,21,27,-3,-48,-52,-27
-13,-59,-50,49,25,-17,42,8,-11,-41,-70,-32
-25,-46,-6,41,29,-34,35,31,-7,-34,-50,-16
-13,-65,-10,30,13,-42,23,40,-41,-28,-64,-32
-17,-43,-25,32,-19,-16,31,17,-4,-42,-50,-45
-9,-64,-38,20,27,-37,13,0,-13,-55,-42,-27
19,-51,-12,20,-6,-41,23,22,-15,-19,-22,-34
-15,-25,-10,40,22,-12,34,14,-28,-32,-29,-40
-19,-35,-36,7,7,-39,19,-2,-6,-25,-38,-43
-21,-16,-31,19,-4,-25,13,23,5,-27,-37,-22
-29,-35,-1,20,6,-43,33,14,-17,-39,-48,-22
-18,-34,-25,32,13,-15,34,0,-2,-26,-39,-23
8,-31,-27,24,21,-11,28,-12,-21,-24,-40,-25
-17,-15,-22,14,4,-1,25,19,-13,-22,-31,3
-14,-16,-30,37,6,-36,29,10,2,-16,-32,-32
-15,-22,-29,17,-5,-30,14,22,15,1,-9,-16
3,-2,-26,-5,2,-12,-5,6,3,-8,-29,-24
-1,-26,-3,14,13,-4,5,11,12,-21,-27,-14
12,-8,-6,20,-12,-37,11,10,-17,-2,-10,-3
-2,0,-6,24,-17,-9,-10,-4,-18,4,6,-31
-8,4,-2,-8,-14,18,5,5,2,-16,10,-3
-16,-4,-5,-7,12,-13,17,-3,9,6,-15,10
-3,0,12,12,28,-4,-11,-16,25,3,-23,20
-13,12,2,-21,24,-12,5,-7,21,15,20,4
17,13,0,-5,8,10,1,-4,13,15,-26,10
11,7,4,-19,-8,20,-26,3,17,-12,6,21
11,22,16,-30,-19,14,-14,0,4,6,20,1
0,20,20,-2,-7,17,-20,10,6,22,32,28
22,9,15,-5,1,37,-9,-2,29,13,17,11
23,19,13,-37,-7,40,-31,-2,13,6,34,6
38,53,29,-48,-2,13,-20,-1,26,18,39,28
18,49,29,-35,7,28,-28,-17,30,48,39,46
32,53,12,-46,8,58,-42,-18,5,43,45,26
9,59,26,-41,-13,49,-35,-35,14,31,60,29
28,82,33,-19,-5,72,-26,-12,36,32,51,42
28,84,34,-69,-1,78,-48,-45,27,57,65,40
44,93,69,-52,-16,64,-51,-22,53,55,75,59
25,82,66,-63,-17,69,-36,-60,33,54,64,50
21,89,62,-64,-9,64,-54,-38,30,71,80,64
38,90,72,-35,-4,84,-64,-36,48,74,96,54
42,103,63,-71,-24,81,-88,-40,21,86,93,82
41,119,92,-78,-14,105,-58,-51,47,85,77,111
16,146,80,-105,7,106,-82,-44,40,91,108,80
27,135,91,-95,-25,101,-69,-46,28,86,124,103
51,116,87,-82,-14,114,-61,-68,33,103,123,90
58,146,97,-108,-19,134,-93,-49,54,121,141,97
52,159,116,-106,-28,138,-93,-75,40,110,127,132
59,175,93,-100,-21,130,-82,-35,56,119,157,111
45,162,124,-119,-38,138,-108,-81,46,131,162,134
73,200,127,-124,-8,168,-106,-79,52,147,178,132
59,202,126,-124,-35,150,-109,-104,49,133,176,157
81,178,122,-126,-45,147,-112,-80,92,154,155,167
80,214,125,-163,-43,191,-128,-93,60,148,189,156
88,242,154,-158,-19,201,-114,-106,68,169,217,156
97,226,133,-155,-32,178,-104,-87,62,171,215,173
64,229,154,-154,-55,183,-113,-93,91,195,201,162
83,256,160,-166,-23,205,-135,-100,75,182,218,182
89,238,182,-174,-37,209,-163,-85,80,189,234,165
89,279,176,-194,-36,222,-129,-113,96,198,247,166
103,284,179,-163,-31,215,-142,-121,73,215,259,193
110,272,181,-185,-60,235,-160,-113,103,210,253,203
63,273,195,-220,-43,224,-164,-108,94,195,249,192
126,326,200,-184,-46,237,-146,-114,85,226,268,190
108,308,195,-215,-60,233,-164,-136,81,227,303,202
108,317,194,-208,-52,255,-162,-102,98,223,284,221
118,315,212,-204,-30,275,-177,-102,89,248,306,208
127,338,208,-218,-82,268,-183,-136,110,250,305,231
142,306,199,-229,-29,278,-171,-123,105,230,294,229
106,348,220,-217,-43,276,-176,-131,110,270,310,257
119,353,228,-243,-48,253,-193,-132,86,240,312,238
104,365,233,-259,-52,312,-169,-151,105,248,304,239
147,351,214,-267,-40,281,-193,-130,80,259,315,251
119,335,238,-254,-61,304,-212,-135,103,259,329,230
142,377,238,-245,-77,328,-193,-146,103,266,350,273
128,357,216,-246,-54,309,-192,-161,109,276,337,256
137,369,258,-274,-51,309,-197,-133,107,268,322,257
135,366,234,-258,-50,318,-189,-159,102,305,341,267
140,381,251,-245,-65,321,-197,-130,94,291,337,275
122,394,254,-251,-75,316,-225,-153,106,288,339,265
127,385,258,-270,-63,314,-218,-150,98,311,339,275
120,373,257,-245,-64,304,-212,-142,91,282,350,275
141,373,277,-248,-33,292,-221,-189,102,285,334,276
125,403,250,-242,-73,326,-205,-167,129,302,348,266
118,380,263,-281,-45,308,-217,-165,98,275,330,261
136,379,239,-264,-65,314,-210,-152,120,287,356,279
125,378,251,-242,-57,299,-214,-151,117,280,333,279
125,375,223,-254,-78,307,-223,-162,118,302,353,253
120,373,241,-271,-64,303,-216,-136,146,279,327,269
132,373,234,-278,-57,310,-226,-151,138,288,346,248
131,383,226,-259,-64,334,-208,-147,107,262,359,270
141,380,252,-236,-53,289,-221,-144,105,269,334,254
120,359,231,-245,-72,309,-191,-140,131,268,327,261
