I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
358,1034,681,-708,-163,851,-583,-417,293,755,926,713
345,1021,646,-688,-151,823,-562,-391,316,727,897,697
338,983,644,-664,-151,809,-551,-402,285,737,874,706
327,911,615,-644,-120,772,-505,-378,264,707,830,672
314,878,577,-598,-137,718,-485,-355,253,684,800,614
283,801,517,-560,-112,653,-476,-311,241,594,726,557
269,741,469,-485,-92,605,-424,-301,229,545,666,506
224,644,421,-442,-94,540,-353,-255,209,477,577,432
198,562,362,-370,-75,464,-298,-240,160,408,474,398
158,453,299,-322,-59,388,-247,-183,113,345,419,327
128,340,234,-258,-53,293,-205,-153,85,286,312,251
95,280,187,-160,-17,217,-138,-93,83,183,232,191
43,184,106,-131,-29,140,-102,-51,39,110,159,119
36,90,52,-69,-16,59,-41,-32,29,46,75,55
-13,-9,4,-13,28,26,4,-24,8,22,15,-7
-44,-74,-48,62,16,-63,35,34,-17,-51,-43,-53
-53,-131,-82,91,16,-97,75,59,-59,-110,-111,-68
-64,-191,-116,126,31,-169,128,92,-46,-146,-154,-145
-96,-241,-161,158,36,-197,133,76,-89,-174,-211,-146
-94,-278,-182,212,43,-211,128,95,-85,-196,-220,-198
-96,-303,-193,195,42,-265,181,138,-111,-224,-276,-218
-97,-322,-201,212,68,-268,217,127,-103,-252,-281,-210
-117,-345,-208,225,59,-273,185,127,-100,-259,-299,-248
-112,-350,-223,247,46,-311,185,145,-119,-252,-327,-245
-122,-353,-223,238,68,-294,190,136,-103,-264,-316,-228
-112,-345,-229,236,53,-300,248,152,-109,-258,-298,-257
-117,-344,-235,219,28,-284,193,124,-107,-268,-313,-246
-119,-350,-197,201,80,-278,198,140,-110,-237,-296,-247
-88,-306,-221,224,52,-258,161,116,-103,-231,-283,-236
-87,-284,-201,186,43,-234,147,113,-96,-200,-256,-222
-72,-288,-188,185,47,-206,144,120,-79,-210,-238,-180
-108,-272,-149,190,18,-208,140,90,-86,-185,-232,-175
-73,-213,-140,134,42,-191,148,92,-81,-193,-217,-171
-69,-197,-131,149,35,-192,114,93,-61,-143,-187,-159
-71,-178,-149,138,40,-177,120,65,-41,-141,-170,-119
-60,-193,-103,107,47,-148,97,60,-54,-123,-164,-104
-74,-160,-107,130,19,-143,83,79,-55,-122,-145,-96
-58,-147,-122,97,27,-104,74,58,-50,-114,-117,-100
-64,-133,-87,96,20,-126,93,42,-44,-94,-120,-86
-26,-131,-85,85,11,-93,59,64,-39,-87,-104,-87
-64,-122,-85,97,27,-92,85,33,-38,-68,-88,-69
-19,-126,-70,50,7,-95,58,39,-33,-80,-118,-77
-49,-111,-82,65,8,-65,45,37,-26,-58,-99,-79
-20,-76,-61,87,16,-57,61,34,-33,-76,-93,-64
-3,-90,-58,60,14,-74,43,40,-22,-88,-91,-63
-26,-90,-49,53,29,-83,71,29,-33,-79,-98,-77
-11,-84,-51,43,-15,-94,47,31,-23,-51,-101,-54
-35,-79,-37,65,12,-86,54,38,-11,-53,-89,-52
-23,-99,-62,46,0,-66,38,31,13,-43,-70,-35
-17,-66,-49,67,-1,-87,62,35,-14,-70,-73,-73
-22,-77,-66,59,11,-59,66,27,-29,-54,-74,-48
-31,-82,-54,31,21,-80,63,13,-29,-55,-74,-41
-29,-83,-54,62,-2,-82,47,13,-30,-79,-75,-64
-4,-64,-56,72,7,-63,34,36,-46,-44,-68,-64
-28,-81,-45,68,9,-55,39,33,-20,-52,-51,-42
-19,-88,-19,38,5,-44,42,28,-40,-77,-78,-43
-3,-51,-49,40,-4,-75,40,44,-11,-47,-58,-42
-23,-88,-44,59,-1,-59,46,30,-20,-60,-73,-39
-19,-91,-42,35,9,-70,56,36,-25,-18,-66,-61
-29,-76,-69,60,-16,-68,42,40,-41,-36,-65,-66
-37,-74,-36,32,9,-76,51,39,-20,-62,-55,-52
-28,-86,-74,44,7,-67,58,4,-12,-56,-83,-59
-46,-51,-42,31,30,-62,47,28,-13,-58,-72,-38
-27,-57,-39,38,14,-61,49,24,-19,-63,-63,-58
1,-59,-34,56,0,-58,33,14,-43,-47,-69,-68
-36,-65,-56,50,-1,-42,46,27,-27,-67,-80,-57
-8,-79,-38,59,13,-74,34,6,-42,-43,-68,-30
-8,-71,-66,31,8,-59,43,27,-19,-39,-84,-46
-23,-66,-52,50,3,-36,41,11,-32,-35,-75,-69
-39,-77,-55,44,14,-55,18,36,-27,-20,-46,-30
-26,-57,-36,36,23,-40,31,31,-29,-33,-61,-31
-15,-59,-45,53,-11,-57,40,33,-9,-46,-72,-21
-4,-30,-37,33,1,-15,32,28,-12,-35,-36,-41
-27,-49,-43,29,11,-33,34,30,-13,-17,-54,-32
-21,-44,4,52,10,-55,30,19,-31,-44,-49,-21
-15,-50,-47,33,21,-60,29,18,0,-36,-62,-45
-6,-40,-32,34,11,-45,15,33,-2,-42,-32,-40
-9,-33,-29,22,8,-36,12,18,-21,-40,-33,-50
-27,-62,-1,28,7,-31,48,2,-12,-43,-26,-35
-3,-39,6,15,5,-43,12,8,-11,4,-21,-21
-27,-47,-24,11,16,-48,44,19,3,-38,-24,-20
17,-42,-36,33,-2,-28,24,42,-9,-26,-30,-34
8,-28,-41,11,29,-34,14,24,-5,-19,-24,-14
-10,-26,-33,29,20,-30,17,37,-22,-3,-35,-52
-3,-37,3,33,-12,-3,16,11,-26,-24,-43,-33
17,-24,-2,16,-12,-11,1,17,-10,-28,-27,-20
-12,-23,-21,4,-2,-17,10,1,7,-11,-3,-13
-10,-3,-12,4,-8,-8,19,-8,-16,-28,-17,-33
6,-2,-18,17,3,-1,3,9,10,-19,-15,9
5,4,-10,3,15,5,1,10,0,-10,-23,13
2,15,-10,-12,29,1,-4,5,-4,-5,-9,4
2,11,4,-3,10,-20,-7,23,5,2,-4,-4
18,-2,12,6,11,19,7,19,-11,-7,-2,9
9,19,-2,-12,-16,12,-3,-6,14,14,20,20
5,16,21,-6,-3,3,-3,-4,5,-1,16,9
