I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
355,995,631,-674,-147,823,-565,-432,295,748,888,707
343,968,629,-663,-140,805,-519,-403,303,750,859,692
322,943,629,-632,-138,782,-503,-384,288,689,854,645
311,884,557,-612,-140,721,-480,-376,268,651,795,602
295,804,548,-515,-101,678,-450,-328,258,598,719,548
258,718,459,-474,-90,574,-392,-286,213,532,627,491
202,590,380,-410,-79,491,-329,-236,202,447,537,432
157,505,306,-338,-90,400,-237,-200,134,361,449,340
126,367,258,-265,-57,308,-207,-152,108,265,349,267
95,273,159,-184,-49,239,-172,-114,83,183,243,184
31,149,106,-122,-24,133,-90,-60,58,114,160,112
23,76,55,-54,-15,65,-36,-47,8,71,49,62
-19,-33,-24,6,-3,-6,2,14,4,5,-5,-9
-39,-85,-55,72,16,-64,49,53,-43,-74,-65,-42
-59,-115,-111,107,27,-120,93,49,-61,-69,-135,-113
-74,-222,-119,143,37,-177,77,109,-54,-166,-166,-126
-79,-238,-166,167,51,-191,124,107,-56,-163,-223,-177
-81,-264,-167,167,73,-209,142,101,-98,-213,-244,-183
-100,-283,-167,153,40,-224,178,109,-96,-232,-279,-194
-85,-281,-180,203,63,-249,158,110,-82,-212,-282,-207
-108,-303,-187,175,36,-218,163,107,-66,-208,-254,-196
-92,-256,-180,185,27,-231,154,108,-69,-223,-240,-201
-80,-254,-180,185,39,-225,165,94,-87,-202,-223,-156
-83,-233,-158,148,45,-201,151,109,-78,-184,-227,-156
-86,-220,-130,151,25,-179,117,100,-83,-187,-186,-170
-79,-186,-119,145,17,-162,99,83,-48,-156,-181,-148
-66,-188,-124,118,33,-139,96,57,-54,-139,-165,-131
-50,-138,-80,102,25,-121,95,80,-49,-113,-139,-100
-57,-135,-94,97,5,-84,46,40,-50,-74,-106,-86
-41,-105,-85,66,21,-95,73,52,-22,-88,-83,-91
-34,-84,-59,56,21,-88,49,5,-40,-92,-94,-52
-21,-69,-40,61,14,-59,42,43,-27,-73,-88,-59
-21,-56,-39,54,14,-69,38,-18,-8,-53,-51,-35
-16,-52,-64,29,13,-79,32,6,-15,-68,-39,-62
-25,-66,-26,35,12,-27,28,24,-4,-48,-37,-39
-17,-32,-39,23,17,-63,42,21,-19,-34,-38,-36
-5,-36,-26,37,14,-37,23,14,-31,-39,-43,-27
5,-32,-15,27,20,-25,27,20,-10,-17,-34,-26
-26,-49,-3,52,-1,-32,35,12,-14,-22,-19,-38
8,-30,-21,-2,1,-31,20,20,9,-21,-21,-24
7,-21,-19,11,-10,-12,9,8,2,-32,-33,0
1,-20,-16,14,-3,-37,12,13,-22,-43,-29,-9
-5,-21,-6,9,-1,-19,11,-2,-31,5,-21,-2
-11,-7,-32,10,-10,-25,25,13,0,-19,-25,-12
11,-31,-22,24,9,-4,28,-1,1,-24,-24,-25
18,-32,-36,-22,-4,-15,-6,14,-16,-31,-14,0
17,-37,7,5,22,3,22,8,-23,-12,-48,-19
12,-9,-7,27,7,-10,23,-1,-6,-13,-16,-1
1,-3,-11,0,0,13,-20,-6,-6,-4,0,-15
-17,-4,9,-24,3,7,5,11,-11,-4,-24,-11
-1,-2,-9,0,-6,-12,17,-1,11,6,-13,11
8,-25,-1,-10,17,-11,10,-5,-16,8,26,11
-14,9,13,-9,18,-3,4,12,23,8,5,18
7,3,-1,7,10,30,-30,-15,6,9,11,5
9,31,19,-15,5,12,-14,-13,2,15,1,-18
13,0,22,-7,-8,4,0,-5,-2,8,28,16
-8,5,9,-8,-19,3,-24,3,-2,22,19,23
0,27,15,-5,-9,19,-25,-17,16,-15,37,26
4,5,24,-28,22,43,-16,-21,13,28,39,15
-3,23,14,-23,-14,22,-4,-18,12,-6,41,33
34,54,8,-27,-9,35,-27,-20,1,23,47,20
9,48,31,-40,-2,31,-30,-18,-1,19,43,36
21,43,24,-41,9,61,-28,-27,29,10,20,26
16,75,27,-46,1,39,-24,-33,-7,33,45,35
40,65,34,-45,-8,56,-15,0,17,36,78,49
39,70,31,-50,10,49,-27,-26,37,42,51,33
33,66,41,-22,-6,46,-41,-33,13,68,65,39
1,95,27,-60,-21,66,-34,-42,19,76,81,61
31,66,68,-76,-29,57,-46,-36,14,71,85,68
41,109,60,-62,-26,103,-45,-42,38,56,52,80
47,113,57,-64,-7,86,-60,-32,43,77,118,71
31,109,62,-80,9,81,-81,-38,22,66,115,71
63,141,82,-62,-3,95,-57,-38,31,108,78,87
28,128,80,-72,-23,100,-49,-60,20,100,128,87
38,137,88,-118,-15,124,-88,-60,27,96,129,114
61,131,72,-79,-53,104,-45,-51,32,114,135,115
53,144,84,-111,-35,145,-70,-55,59,94,120,111
79,166,109,-117,-5,106,-103,-62,41,125,141,89
61,175,110,-128,-7,126,-104,-62,68,97,139,111
54,180,139,-118,-35,175,-101,-60,62,136,144,136
60,189,114,-123,-23,164,-107,-90,67,131,144,116
55,210,134,-145,1,169,-103,-58,78,127,148,167
56,201,116,-138,-27,178,-126,-80,60,157,180,148
82,218,119,-147,-29,170,-128,-99,78,146,193,158
85,204,138,-168,-22,196,-125,-90,74,183,196,151
97,242,140,-160,-45,194,-141,-94,92,185,188,168
75,238,146,-147,-60,211,-118,-95,79,184,214,179
108,269,165,-152,-60,223,-137,-91,79,178,218,169
87,266,167,-170,-37,243,-154,-117,66,201,221,188
