I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
366,1009,672,-704,-143,869,-551,-427,326,755,903,738
358,973,659,-660,-150,845,-532,-401,277,750,883,683
326,956,626,-646,-126,767,-520,-374,306,706,864,675
303,862,571,-589,-122,702,-487,-340,252,634,780,596
282,765,499,-516,-116,630,-433,-289,242,552,675,534
202,665,405,-440,-88,529,-369,-255,181,478,569,455
175,495,350,-358,-65,420,-271,-185,162,396,446,370
148,355,243,-261,-60,311,-198,-141,129,274,300,274
65,235,170,-142,-59,202,-135,-79,71,192,207,135
50,113,60,-75,-13,101,-46,-54,20,117,105,95
-13,24,7,-9,4,2,-16,-1,-5,-2,15,11
-36,-85,-30,41,17,-54,45,29,-28,-66,-52,-38
-78,-163,-106,118,43,-131,99,70,-33,-108,-137,-114
-88,-206,-139,139,39,-169,134,109,-85,-158,-203,-158
-101,-274,-163,180,27,-227,122,105,-88,-217,-214,-176
-85,-303,-175,192,66,-249,168,115,-61,-202,-267,-197
-79,-281,-205,191,59,-236,167,129,-103,-237,-272,-216
-98,-306,-187,187,51,-246,154,137,-100,-232,-253,-190
-115,-295,-164,205,46,-239,174,109,-114,-214,-262,-209
-74,-266,-170,168,44,-227,139,93,-62,-196,-237,-183
-88,-250,-147,175,27,-188,131,79,-80,-170,-214,-172
-71,-188,-133,138,36,-172,130,81,-60,-169,-179,-172
-69,-181,-129,123,20,-149,108,62,-34,-124,-175,-137
-70,-146,-112,123,26,-129,96,69,-48,-122,-149,-118
-40,-122,-68,81,20,-124,64,38,-39,-110,-124,-90
-57,-103,-72,77,39,-83,67,36,-34,-75,-87,-74
-9,-110,-55,86,34,-81,46,51,-32,-55,-68,-70
-38,-89,-65,65,8,-53,46,56,-21,-70,-45,-75
14,-75,-42,41,-5,-23,21,37,1,-38,-56,-31
-35,-27,-31,25,9,-63,23,52,-6,-62,-59,-38
-25,-46,-38,35,28,-24,8,24,-18,-32,-27,-25
-19,-27,-23,34,7,-19,26,32,-1,-14,-16,-23
-1,-27,-17,6,12,-20,20,11,-14,-23,-39,-32
-21,-21,-23,13,0,-47,17,8,4,-10,-22,-19
-16,-30,-24,14,-1,14,4,4,17,14,-8,-16
-16,-10,-26,4,-3,-25,-24,19,-5,-2,-19,-6
-14,-22,-4,21,-7,8,-4,-14,8,-11,-36,20
-4,-1,-3,0,-5,21,5,-10,17,-5,-8,-3
-1,-6,6,6,4,8,7,0,19,6,3,-2
3,14,16,-6,12,-8,7,-5,4,-5,-15,7
9,16,-2,-28,-24,-6,-14,-11,11,32,2,21
12,13,-10,11,3,12,6,-6,-20,10,26,14
20,27,14,-16,-6,19,-5,-22,-8,21,15,34
16,17,38,-10,-15,8,14,1,5,5,52,10
6,34,34,0,-14,26,-20,-24,10,23,38,27
-4,38,32,-36,-21,18,-11,-10,12,27,53,15
9,47,51,-45,-13,41,-66,-22,13,13,39,14
15,76,31,-34,-18,55,-33,-16,8,22,59,43
17,61,40,-45,21,32,-35,-38,-9,28,35,63
9,64,43,-56,-13,59,-5,-18,7,49,61,53
35,88,59,-59,-4,53,-56,-31,32,81,67,52
