I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
342,981,614,-670,-160,803,-538,-384,273,744,848,695
332,954,614,-677,-129,808,-522,-412,274,714,856,646
324,938,622,-631,-151,789,-523,-371,284,699,831,639
296,875,575,-609,-137,724,-495,-372,298,671,808,614
304,823,547,-553,-141,678,-444,-314,251,617,733,564
257,737,483,-517,-115,600,-409,-287,221,565,693,524
209,668,434,-450,-84,540,-374,-274,212,508,605,461
204,574,365,-374,-80,473,-307,-232,172,442,508,411
167,484,303,-344,-84,381,-271,-192,140,373,430,344
129,381,232,-277,-41,335,-217,-147,140,295,329,268
108,286,187,-215,-47,244,-169,-127,92,217,265,203
48,200,126,-139,-18,183,-118,-73,63,153,173,142
40,105,68,-59,-6,86,-62,-59,23,88,100,91
6,19,25,-27,-10,37,-5,-2,26,18,20,18
-44,-56,-50,42,21,-47,39,17,-23,-48,-58,-27
-36,-118,-64,80,4,-85,49,43,-19,-76,-70,-103
-72,-166,-124,111,40,-144,94,65,-55,-129,-150,-129
-81,-202,-142,141,53,-170,120,88,-53,-155,-185,-122
-72,-236,-192,178,32,-198,152,127,-91,-182,-230,-170
-122,-267,-186,179,44,-226,158,105,-82,-208,-241,-194
-93,-282,-218,174,53,-225,165,135,-118,-222,-260,-199
-113,-315,-216,194,32,-245,169,121,-112,-232,-255,-209
-105,-310,-196,226,63,-271,190,129,-71,-233,-263,-192
-114,-296,-196,192,28,-250,161,111,-110,-228,-272,-208
-95,-290,-231,197,55,-228,173,134,-94,-212,-263,-203
-93,-287,-182,198,42,-231,144,137,-84,-245,-251,-209
-92,-272,-202,207,42,-230,157,111,-92,-195,-235,-181
-75,-268,-170,162,37,-215,160,94,-73,-187,-241,-186
-87,-218,-147,156,46,-198,132,100,-79,-157,-184,-165
-67,-217,-137,134,44,-175,123,105,-43,-150,-175,-139
-68,-210,-121,117,32,-189,120,87,-66,-143,-185,-133
-73,-146,-117,99,45,-136,73,93,-44,-129,-159,-103
-59,-150,-107,115,29,-130,102,70,-54,-109,-166,-107
-44,-143,-93,86,-4,-111,70,65,-73,-112,-129,-80
-30,-125,-86,91,17,-114,54,50,-29,-82,-107,-92
-48,-129,-68,80,19,-89,60,47,-24,-77,-104,-81
-24,-111,-51,71,27,-109,42,34,-52,-88,-104,-73
-22,-94,-54,57,11,-57,35,34,-32,-83,-80,-64
-35,-85,-59,41,2,-59,39,49,-17,-60,-92,-57
-27,-77,-53,75,-16,-81,46,29,-30,-53,-64,-59
-1,-71,-54,63,21,-71,53,29,-18,-69,-56,-47
-20,-42,-35,50,0,-64,44,39,-1,-60,-58,-60
-25,-75,-18,44,16,-43,39,39,-26,-45,-58,-45
-29,-59,-36,40,16,-62,24,12,-44,-65,-54,-40
-17,-48,-44,31,5,-53,26,24,-27,-39,-63,-45
-17,-57,-45,33,2,-42,42,19,-21,-58,-51,-31
-44,-55,-69,36,-12,-95,13,22,-24,-35,-60,-57
-30,-78,-50,22,-12,-50,51,12,-8,-64,-53,-39
-21,-54,-26,15,16,-39,21,16,-19,-21,-46,-52
-10,-61,-19,28,2,-17,49,34,-15,-30,-30,-43
-22,-45,-42,32,5,-47,28,12,-35,-40,-27,-38
-17,-62,-32,40,-5,-26,23,10,-16,-34,-43,-25
-7,-59,-25,30,1,-48,4,13,-33,-25,-33,-15
-24,-62,-41,39,13,-33,35,17,-22,-39,-23,-35
-5,-46,-34,24,4,-37,11,24,7,-40,-56,-11
-10,-51,-25,30,-6,-29,18,-9,-7,-23,-31,8
-33,-45,-48,7,4,-50,5,24,-39,-10,-27,-8
-23,-84,-30,19,-1,-23,-13,23,-15,-21,-41,-39
-15,-36,-20,44,0,-49,7,12,7,-52,-40,-21
-20,-36,-40,40,8,-17,24,9,-9,-29,-55,-23
-28,-23,-37,27,-8,-29,22,20,-18,-22,-44,-20
-8,-29,-13,11,12,-35,-1,33,0,0,-32,-4
-16,-32,-33,33,18,-24,3,40,-4,-38,-30,-30
