I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
351,1042,680,-697,-160,875,-578,-436,315,772,930,732
344,1017,666,-734,-156,859,-565,-443,298,785,946,708
325,983,668,-675,-173,828,-541,-411,308,753,899,690
321,949,609,-649,-162,781,-519,-380,276,703,844,649
312,894,579,-590,-129,721,-468,-336,257,640,796,608
267,799,513,-550,-117,641,-425,-308,242,587,719,540
247,710,454,-464,-89,568,-386,-295,228,509,616,479
193,578,405,-405,-95,492,-331,-253,160,471,528,412
173,494,307,-338,-80,401,-287,-203,142,379,441,343
149,418,274,-245,-47,322,-218,-149,124,279,353,250
92,280,151,-183,-27,241,-190,-135,66,218,245,194
80,173,118,-95,-28,143,-103,-88,52,113,157,115
38,90,37,-50,-30,69,-52,-21,4,65,92,53
8,-1,0,6,1,-16,-1,-5,-13,0,-8,28
-23,-92,-41,53,2,-74,34,31,-39,-50,-68,-30
-31,-133,-90,86,24,-121,63,44,-48,-94,-118,-82
-76,-187,-132,113,11,-181,105,59,-54,-140,-185,-124
-89,-247,-159,172,23,-188,130,105,-65,-168,-206,-189
-99,-255,-174,182,62,-223,172,79,-76,-204,-255,-192
-87,-311,-196,224,41,-265,147,129,-85,-232,-251,-186
-101,-297,-210,220,50,-257,172,122,-103,-225,-281,-220
-124,-304,-203,214,33,-264,203,122,-100,-229,-281,-220
-101,-324,-217,210,55,-273,192,121,-106,-242,-296,-231
-95,-317,-186,194,23,-263,190,132,-113,-231,-266,-219
-118,-315,-189,200,49,-272,187,119,-101,-237,-284,-217
-88,-289,-159,215,38,-239,156,127,-75,-227,-248,-193
-89,-259,-183,195,15,-225,140,92,-105,-205,-235,-182
-66,-229,-135,154,28,-191,130,85,-86,-181,-215,-181
-83,-233,-144,146,18,-172,116,79,-67,-155,-213,-163
-85,-181,-130,144,47,-153,94,92,-71,-148,-179,-154
-64,-165,-134,117,22,-124,94,72,-47,-159,-148,-141
-70,-141,-104,111,29,-146,96,62,-51,-121,-174,-113
-40,-142,-75,84,19,-105,88,21,-29,-89,-122,-102
-46,-121,-95,83,15,-100,68,32,-34,-114,-133,-95
-39,-112,-63,84,-3,-87,78,64,-36,-89,-92,-71
-49,-92,-63,85,22,-93,44,35,-50,-59,-94,-92
-25,-73,-61,66,20,-83,55,49,-12,-71,-84,-48
-7,-72,-27,61,13,-65,63,28,-51,-58,-59,-62
-43,-71,-35,56,17,-42,46,9,-28,-70,-60,-52
-39,-58,-44,40,22,-46,29,43,-30,-50,-61,-54
-4,-47,-52,50,12,-45,33,37,-22,-57,-71,-41
0,-49,-26,38,-7,-56,40,20,-21,-59,-70,-36
4,-50,-44,54,24,-41,36,18,-39,-40,-49,-45
-13,-57,-29,38,11,-44,31,10,-19,-36,-43,-50
-23,-71,-43,31,-12,-39,22,16,0,-48,-38,-49
-16,-58,-39,17,5,-51,29,5,-1,-28,-39,-39
-4,-69,-31,34,24,-40,28,20,-8,-40,-62,-47
-24,-45,-22,45,11,-50,21,31,-14,-24,-39,-37
-22,-50,-45,23,4,-53,19,15,4,-48,-34,-25
-9,-46,-39,24,15,-49,14,-9,-17,-40,-66,-38
-33,-61,-31,56,1,-31,11,14,-22,-36,-72,-57
-15,-44,-35,50,21,-46,49,42,-16,-40,-61,-38
-24,-48,-19,17,4,-35,22,27,-37,-36,-28,-39
6,-67,-33,28,9,-45,45,32,-13,-24,-35,-26
-18,-50,-19,31,5,-43,31,7,-36,-40,-43,-37
-4,-43,-25,9,-10,-39,10,19,-44,-13,-42,-43
-14,-34,-27,32,2,-40,27,12,-30,-26,-25,-6
-14,-44,-48,27,6,-43,17,17,-34,-32,-36,-38
-8,-17,-19,39,-28,-24,22,4,-15,-47,-23,-21
2,-26,-22,31,-3,-40,30,-1,-11,-37,-34,-12
-3,-33,-5,43,-18,-19,51,11,-4,-23,-39,-20
13,-26,-15,13,-8,-16,41,-8,-25,-18,-12,-18
-14,4,-34,22,-5,-13,25,9,2,-22,-35,2
-14,-29,-11,23,8,-27,-2,4,-19,-6,-35,-22
-8,-16,-24,8,7,-11,28,27,-28,-20,-27,-27
-39,-18,-18,12,11,0,-12,19,11,-15,-9,-29
8,-5,-8,1,12,-13,7,9,12,-16,-17,-29
7,-23,3,31,-18,0,3,2,-3,2,-12,-14
-3,-6,-15,30,21,5,25,10,5,-5,8,-30
-20,13,-5,2,-9,11,9,-7,-4,6,-16,-7
19,5,9,11,14,13,4,40,-12,-3,-3,4
-18,18,3,8,7,-16,-15,6,9,-18,-2,8
14,21,-4,-20,19,15,-7,-10,15,5,22,6
10,15,9,4,-5,11,-22,4,-3,12,13,0
3,11,10,-7,-22,-11,-16,-21,-2,13,6,30
1,53,19,-8,-13,-3,-24,-20,10,19,45,10
15,12,13,-33,13,35,-19,-26,5,13,-2,28
10,32,29,-41,-18,16,-16,-26,24,34,43,24
8,49,33,-32,-9,42,-31,-13,19,29,31,27
1,53,45,-25,-6,32,-46,-1,12,35,48,31
15,47,26,-17,-1,37,-34,-41,-6,27,43,20
28,51,42,-34,-8,58,-40,-35,12,28,33,60
31,63,41,-31,6,50,-24,-29,37,80,51,33
16,57,46,-42,-24,54,-40,-38,29,49,57,60
39,69,49,-52,-23,51,-7,-22,15,49,57,49
21,73,75,-78,-3,70,-37,-19,40,37,81,64
50,76,49,-50,16,96,-52,-56,41,54,74,69
39,115,84,-78,-21,70,-70,-37,57,53,85,37
40,109,39,-74,-14,83,-52,-58,7,76,78,71
27,119,82,-72,-14,69,-53,-40,20,69,94,78
73,112,59,-96,-15,88,-74,-70,10,84,127,94
34,144,79,-86,-28,109,-88,-46,35,83,106,73
34,137,79,-86,3,114,-61,-46,72,81,111,106
61,158,77,-106,-11,108,-102,-51,32,113,123,139
47,140,100,-106,-31,122,-60,-43,27,118,156,105
47,175,108,-105,-28,142,-94,-52,58,116,149,106
73,181,107,-121,-20,138,-113,-74,51,106,186,157
63,175,110,-131,-25,145,-121,-69,61,127,151,115
44,210,124,-120,-16,160,-107,-69,78,134,185,131
50,215,131,-115,-5,165,-114,-77,64,159,171,136
79,207,107,-127,-30,168,-104,-91,74,136,212,149
45,209,128,-136,-49,172,-108,-87,63,163,192,151
52,213,141,-153,-44,173,-102,-92,70,173,204,152
67,228,167,-148,-43,201,-146,-94,75,155,205,155
91,248,189,-191,-38,188,-134,-92,80,171,212,154
73,249,152,-175,-13,227,-126,-81,95,198,202,162
111,264,175,-184,-37,223,-151,-119,78,195,227,166
71,265,170,-170,-33,218,-131,-104,72,182,246,172
85,268,203,-188,-52,194,-147,-115,76,182,241,188
111,273,182,-217,-75,229,-159,-103,76,218,255,196
