I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
355,1065,683,-696,-160,855,-573,-391,303,773,929,722
363,1010,646,-719,-150,822,-554,-406,302,770,924,697
359,981,636,-665,-155,834,-547,-414,266,756,900,697
328,974,595,-670,-140,812,-525,-365,277,726,872,659
298,891,592,-618,-126,747,-510,-334,268,662,799,623
319,828,562,-584,-112,697,-474,-332,248,634,755,580
259,761,507,-522,-108,656,-425,-301,231,564,674,529
227,708,455,-461,-107,587,-384,-275,184,526,640,467
225,601,392,-412,-73,498,-320,-252,179,445,526,438
179,521,330,-353,-90,426,-289,-212,162,385,463,365
148,413,274,-301,-83,351,-234,-169,136,321,392,301
104,348,226,-222,-66,298,-191,-129,93,259,304,225
91,252,173,-165,-49,213,-151,-112,66,193,247,174
54,200,121,-131,-17,124,-91,-70,58,115,148,121
27,90,66,-49,-31,76,-37,-34,22,83,46,64
6,13,-1,-5,15,-12,-16,15,28,3,15,-3
-16,-34,-34,28,-3,-56,41,17,-9,-45,-27,-29
-47,-116,-63,76,17,-89,63,49,-10,-66,-111,-76
-50,-160,-124,108,9,-143,103,42,-66,-117,-158,-91
-72,-220,-130,159,20,-161,124,78,-71,-148,-200,-140
-81,-248,-152,168,45,-200,150,86,-57,-181,-239,-170
-85,-280,-198,182,53,-214,159,119,-77,-225,-247,-185
-104,-301,-189,180,81,-247,165,105,-93,-221,-287,-201
-117,-327,-198,230,51,-259,164,138,-107,-241,-279,-245
-109,-322,-198,217,35,-275,172,145,-120,-239,-293,-224
-135,-320,-202,236,45,-271,186,135,-101,-233,-271,-230
-113,-319,-229,230,48,-275,197,132,-100,-256,-295,-254
-123,-333,-228,228,53,-267,179,137,-96,-259,-285,-224
-110,-319,-214,204,29,-273,180,135,-105,-217,-294,-205
-108,-298,-194,218,76,-243,155,142,-106,-242,-276,-202
-91,-296,-195,184,45,-252,174,111,-84,-216,-273,-201
-101,-299,-180,191,53,-229,152,106,-84,-225,-248,-196
-84,-266,-170,164,42,-202,158,115,-75,-214,-212,-191
-111,-235,-150,194,28,-190,124,106,-80,-188,-198,-173
-79,-205,-152,160,33,-175,113,83,-80,-171,-193,-145
-57,-216,-125,164,33,-189,112,71,-57,-160,-178,-162
-63,-195,-114,138,26,-162,106,62,-65,-131,-175,-133
-68,-178,-92,110,43,-121,109,63,-66,-122,-176,-118
-57,-150,-94,114,22,-118,86,63,-48,-112,-127,-87
-43,-141,-99,105,20,-130,79,72,-42,-116,-135,-104
-55,-141,-90,85,21,-108,73,48,-51,-121,-143,-96
-32,-114,-65,73,20,-103,76,44,-44,-69,-131,-76
-40,-130,-67,70,4,-102,70,45,2,-100,-97,-59
-39,-102,-57,52,17,-106,67,45,-18,-86,-68,-48
-21,-91,-61,55,12,-92,53,51,-47,-75,-89,-84
-9,-126,-57,68,16,-73,40,36,-27,-67,-107,-67
-14,-97,-67,62,-10,-75,39,33,-44,-62,-63,-64
-24,-75,-39,48,20,-89,36,52,-32,-83,-81,-54
-26,-81,-58,56,10,-60,35,32,-34,-59,-84,-66
-19,-58,-38,42,14,-67,38,28,-30,-77,-41,-57
-24,-86,-64,62,6,-60,59,33,-15,-59,-77,-51
-37,-56,-44,57,25,-48,59,24,-30,-33,-69,-46
-38,-65,-44,45,23,-78,29,30,-22,-47,-73,-50
-18,-90,-44,75,16,-72,45,29,-10,-58,-90,-58
-18,-83,-53,59,16,-65,16,47,-35,-48,-71,-39
-16,-62,-37,48,3,-49,28,20,-25,-58,-52,-47
-25,-56,-69,34,-7,-53,37,2,-23,-32,-50,-74
-17,-43,-32,61,-1,-46,21,24,-53,-54,-80,-48
-33,-66,-29,48,9,-76,19,29,-22,-33,-44,-36
-36,-42,-29,32,15,-63,30,17,-47,-69,-53,-67
-16,-54,-51,53,31,-77,36,42,-16,-40,-49,-43
-22,-59,-32,48,0,-52,44,28,-22,-53,-63,-49
-35,-70,-2,46,-16,-59,42,24,-11,-73,-61,-46
-29,-68,-26,28,-3,-63,17,17,-12,-47,-60,-34
-13,-52,-53,41,14,-41,32,41,-21,-54,-82,-33
-7,-44,-32,41,-11,-42,26,14,-30,-51,-62,-38
-30,-69,-43,59,-8,-61,36,17,-32,-50,-42,-21
-25,-78,-43,39,15,-34,21,26,-20,-50,-50,-36
-20,-76,-42,20,9,-41,66,18,-19,-66,-49,-28
-22,-55,-59,30,11,-48,59,27,-10,-23,-41,-42
-23,-64,-41,34,20,-46,38,9,-31,-35,-56,-16
-17,-44,-22,51,-9,-26,38,22,-40,-33,-38,-32
-4,-56,-37,26,6,-48,13,10,-1,-35,-45,-35
-34,-28,-29,46,35,-58,8,27,4,-36,-48,-29
-30,-56,-32,29,0,-46,33,26,-3,-31,-46,-19
-21,-64,-59,17,3,-46,25,5,-13,-48,-50,-18
3,-16,-29,35,-11,-25,22,13,-29,-8,-21,-20
-3,-60,-37,27,18,-42,21,30,-3,-15,-29,-38
-8,-45,-15,29,20,-53,10,5,4,-50,-56,-39
-17,-33,-28,29,25,-55,41,23,-24,-39,-47,-24
-20,-38,-12,40,12,-23,22,-10,-13,-34,-27,-33
-5,-62,-11,23,-14,-7,25,20,0,-28,-20,-34
-30,-41,-2,13,1,-34,6,14,-29,-30,-40,-25
-9,-21,-24,27,17,-31,14,21,-10,-19,-30,-24
-19,-43,-10,15,10,-4,16,27,-11,-37,-13,-36
-1,-11,-34,15,7,-9,7,6,1,-27,-46,-12
-27,-39,-7,8,7,-42,19,2,-6,10,-7,-2
-5,-32,-9,9,-22,10,-3,-3,17,-2,-42,-18
0,-10,-10,3,-2,-9,-3,24,-11,-13,-27,-11
-25,-7,1,16,5,16,15,-9,-19,-20,-14,12
-6,-10,-4,-11,-14,-3,2,13,-5,8,15,-25
0,-5,-5,11,12,-10,2,10,10,6,-24,2
7,-5,-21,21,23,2,-14,16,-9,-16,-14,1
-14,2,-8,6,2,-14,-7,8,-1,-5,-9,0
10,-8,0,-25,-2,15,4,-5,-10,-15,6,-27
-3,-4,14,-18,-12,33,18,9,-8,11,0,11
1,7,-2,-36,-5,-7,-9,-2,3,9,8,-6
14,29,5,-13,-7,22,-20,-18,-2,8,-1,5
3,23,18,-2,-5,-14,12,-16,18,-19,0,23
19,21,14,-26,5,35,-18,-7,24,2,17,5
6,32,4,-22,-16,8,-2,2,5,-2,17,11
16,23,8,-30,-2,31,-14,7,8,13,23,41
-1,69,21,-39,-8,27,3,1,-11,17,44,3
16,38,16,-39,-1,45,-17,-9,15,30,25,12
4,58,39,-10,-29,45,-28,-25,18,53,41,40
33,50,18,-43,12,51,-36,-23,18,34,70,27
36,77,33,-36,-13,43,-16,-42,-11,45,50,51
25,61,27,-60,11,30,-33,-6,39,49,53,46
18,72,44,-34,-7,64,-38,-22,5,33,59,43
26,70,55,-46,-29,51,-47,-35,11,38,82,48
62,91,57,-31,-21,77,-67,-33,16,76,76,62
28,92,66,-62,4,72,-58,-28,15,57,73,62
25,97,39,-73,-39,69,-32,-42,27,63,88,79
28,103,62,-56,-15,73,-70,-22,45,80,78,63
33,87,61,-76,-18,84,-49,-47,37,70,96,79
65,120,68,-81,-14,95,-53,-53,39,83,93,60
35,102,64,-77,-27,103,-70,-41,24,77,107,71
30,116,98,-71,-16,94,-71,-61,33,88,91,76
37,126,83,-87,-17,110,-65,-55,45,123,120,82
