I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
348,1003,657,-696,-153,823,-560,-395,325,769,921,715
348,1024,669,-669,-150,871,-551,-400,310,779,928,729
335,977,608,-652,-160,805,-535,-387,304,759,886,692
312,941,602,-644,-158,746,-512,-369,279,704,842,632
292,860,542,-563,-136,715,-475,-337,245,648,768,607
245,765,517,-514,-120,668,-441,-312,239,611,696,548
261,693,445,-464,-99,599,-370,-270,217,517,609,505
177,605,380,-414,-103,480,-339,-233,177,451,519,428
161,468,317,-339,-41,398,-279,-205,135,356,424,348
130,389,242,-262,-60,314,-186,-168,140,300,336,268
112,292,178,-199,-37,242,-157,-133,80,201,261,202
95,181,145,-117,-31,147,-105,-60,55,140,167,115
28,82,49,-70,-27,63,-56,-18,41,67,69,66
-17,-1,25,-41,5,11,-2,-14,20,1,2,3
-27,-63,-44,50,14,-46,67,11,-44,-68,-80,-56
-72,-136,-88,94,31,-126,82,73,-46,-87,-149,-125
-77,-208,-147,135,44,-153,93,81,-56,-146,-188,-148
-86,-242,-160,184,48,-195,145,100,-88,-197,-243,-175
-117,-281,-211,205,30,-254,162,111,-92,-234,-247,-195
-125,-310,-199,226,45,-284,193,136,-99,-252,-289,-228
-140,-344,-231,230,30,-274,189,138,-121,-258,-315,-251
-143,-347,-257,246,69,-305,197,133,-96,-280,-316,-255
-144,-383,-267,252,58,-306,205,149,-115,-276,-344,-279
-122,-363,-247,258,46,-294,201,147,-110,-288,-326,-261
-119,-343,-219,250,59,-324,190,127,-102,-277,-350,-230
-131,-350,-245,211,58,-276,180,148,-89,-256,-319,-238
-112,-342,-199,211,60,-295,197,142,-105,-237,-296,-238
-91,-315,-195,229,47,-255,181,129,-118,-231,-285,-197
-96,-286,-189,194,30,-242,184,118,-102,-218,-228,-200
-118,-281,-160,168,50,-223,143,110,-74,-197,-256,-198
-77,-273,-164,163,16,-225,124,96,-76,-189,-225,-174
-85,-235,-158,152,42,-177,115,90,-75,-185,-208,-150
-93,-203,-104,132,33,-138,101,84,-77,-162,-193,-111
-47,-200,-129,127,28,-167,91,68,-64,-128,-153,-124
-94,-152,-117,107,26,-130,79,85,-70,-139,-126,-124
-48,-145,-68,111,19,-134,92,80,-39,-150,-132,-107
-59,-170,-77,100,33,-131,86,55,-52,-121,-131,-103
-33,-124,-93,90,23,-91,59,48,-27,-88,-147,-90
-43,-107,-57,85,41,-110,71,51,-40,-89,-114,-89
-47,-103,-54,68,37,-96,76,41,-25,-91,-109,-88
-38,-129,-55,89,21,-93,64,38,-36,-72,-91,-73
-35,-113,-55,84,0,-95,72,59,-5,-71,-95,-82
-34,-114,-72,64,18,-66,64,62,-42,-86,-97,-65
-27,-106,-68,69,12,-95,67,38,-25,-73,-105,-76
-28,-81,-85,58,24,-81,51,42,-6,-91,-106,-87
-48,-88,-62,60,33,-94,81,38,-28,-96,-81,-70
-23,-84,-69,88,16,-82,56,38,-13,-57,-81,-73
-2,-91,-65,43,20,-101,70,54,-34,-84,-66,-41
-21,-112,-67,45,32,-85,53,33,-17,-48,-84,-63
-17,-85,-62,58,2,-56,69,49,-15,-70,-98,-41
-31,-68,-70,59,23,-59,34,48,-47,-63,-82,-60
-29,-101,-69,62,25,-86,40,34,-29,-73,-72,-71
-13,-93,-49,71,10,-63,50,30,-9,-89,-72,-46
-29,-83,-42,62,14,-55,52,47,-26,-69,-102,-57
-31,-71,-47,63,10,-55,35,25,-34,-62,-45,-49
-28,-75,-66,67,-15,-57,34,41,-43,-79,-46,-58
-35,-70,-63,35,10,-47,39,28,-20,-79,-73,-63
-34,-89,-53,35,17,-67,52,27,-58,-78,-48,-86
-31,-97,-40,40,26,-64,51,20,-34,-76,-44,-62
-27,-80,-57,48,-7,-61,39,40,-42,-58,-72,-65
-39,-78,-61,59,-16,-45,58,40,-36,-59,-61,-48
-39,-54,-44,49,13,-40,47,36,-23,-48,-73,-64
-19,-54,-18,42,9,-51,41,41,-16,-54,-41,-36
-15,-80,-37,40,-3,-18,31,33,-10,-20,-85,-32
-33,-44,-37,35,11,-54,33,15,-41,-40,-45,-38
-8,-47,-29,60,4,-48,29,30,-19,-51,-66,-57
-25,-66,-39,61,12,-36,40,-12,-19,-47,-18,-34
-31,-43,-35,40,1,-27,45,19,-4,-32,-40,-43
-42,-41,-33,35,32,-51,17,19,-6,-42,-46,-33
-20,-44,-36,33,-3,-20,26,14,-5,-36,-39,-31
-16,-38,-26,24,16,-25,4,35,-34,-22,-36,-32
-4,-49,-10,32,1,-30,34,23,-2,-31,-19,-15
-5,-42,-27,21,12,-48,12,33,10,-45,-37,-8
5,-30,-16,7,-2,-39,23,7,-9,-4,-17,-19
-9,-33,-1,10,8,2,7,-6,3,-51,-8,-4
1,-23,5,7,11,-30,4,-2,-17,-7,-35,-2
-24,-18,-2,33,-20,-27,26,9,2,-6,-21,-13
10,6,-21,9,18,-1,-1,-3,-3,-16,-2,5
5,17,2,-6,2,-23,20,5,0,-18,-20,-22
-15,15,7,13,-2,11,11,3,20,4,-8,10
9,22,7,2,-6,10,-4,-4,6,12,1,1
17,18,-6,-18,-31,18,-3,21,0,-7,2,-4
7,35,1,2,5,9,-19,0,16,3,17,12
0,27,19,8,-2,32,-35,-21,30,17,5,15
-6,46,28,-31,-6,5,-4,-12,8,6,40,6
25,32,23,-44,-9,24,-17,-13,17,10,41,41
20,50,15,-19,-19,46,-37,-16,23,26,49,11
33,63,43,-38,-5,26,-2,-21,11,34,57,40
17,41,20,-33,-13,46,-16,-21,-1,40,56,45
34,88,54,-38,-13,61,-61,8,10,46,61,48
19,59,5,-36,-5,46,-35,-24,29,73,73,38
-2,83,64,-49,-2,69,-30,-42,14,48,76,58
34,90,37,-90,3,70,-79,-50,39,68,75,53
30,84,54,-72,-4,62,-54,-47,34,58,97,63
38,106,88,-34,-18,94,-50,-22,22,83,99,78
45,101,72,-83,-33,99,-59,-32,26,71,115,65
44,115,62,-60,-34,100,-57,-56,44,61,112,82
41,117,93,-98,-18,130,-75,-40,21,91,92,69
45,128,87,-90,-19,110,-91,-41,19,91,122,88
35,141,101,-92,-30,94,-103,-65,29,99,163,100
52,146,118,-105,-28,124,-78,-65,20,102,141,116
71,141,102,-92,-11,116,-91,-78,56,124,157,112
72,163,93,-130,-35,136,-98,-84,42,129,139,142
75,170,111,-121,-2,148,-97,-58,63,151,180,126
53,176,111,-116,-14,171,-104,-56,59,137,152,136
79,190,120,-146,-23,169,-128,-79,48,138,166,148
75,210,127,-128,-9,168,-112,-75,39,144,185,142
74,225,146,-151,-35,188,-94,-107,42,152,201,158
66,228,125,-153,-4,180,-139,-80,58,156,189,142
93,217,155,-167,-27,212,-133,-85,68,167,223,167
65,237,166,-161,-37,200,-133,-102,70,178,216,165
98,242,171,-178,-42,217,-135,-125,71,197,226,188
117,238,166,-161,-36,214,-134,-94,79,190,241,185
107,257,162,-169,-47,215,-147,-119,66,187,243,182
95,249,181,-193,-31,263,-157,-123,87,218,249,196
