I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
375,1073,693,-723,-152,895,-605,-413,319,823,953,767
362,1054,682,-723,-172,879,-570,-437,300,749,951,725
355,995,668,-691,-143,819,-556,-382,314,727,898,699
324,919,602,-650,-128,791,-525,-392,287,690,857,645
325,857,558,-584,-128,707,-455,-322,263,635,784,609
267,760,517,-515,-121,624,-428,-310,240,579,670,528
236,655,424,-455,-103,504,-348,-275,197,495,610,443
184,539,333,-364,-82,437,-316,-212,157,407,487,377
174,428,296,-306,-57,374,-254,-176,125,302,374,289
110,302,194,-224,-67,250,-185,-131,96,238,276,232
56,194,126,-163,-10,174,-99,-80,54,162,170,135
36,92,63,-61,-33,84,-35,-40,34,61,60,68
-2,18,8,5,-10,23,-2,7,21,2,25,5
-38,-105,-46,70,24,-90,52,48,-32,-70,-52,-43
-58,-145,-81,116,22,-103,78,65,-30,-105,-121,-110
-64,-165,-127,134,40,-172,119,71,-73,-144,-183,-130
-88,-241,-172,165,37,-207,140,96,-77,-202,-241,-154
-107,-281,-191,190,60,-223,156,138,-92,-228,-260,-191
-95,-303,-202,192,40,-248,167,118,-77,-219,-263,-210
-121,-323,-196,222,36,-239,177,113,-95,-230,-263,-223
-104,-321,-198,204,26,-251,165,117,-71,-217,-277,-224
-100,-301,-202,202,65,-236,157,123,-79,-205,-266,-202
-105,-305,-209,212,32,-236,148,119,-93,-226,-243,-184
-83,-257,-193,192,61,-242,119,91,-72,-205,-231,-193
-68,-262,-138,163,31,-185,130,61,-62,-172,-230,-176
-79,-225,-137,158,39,-186,126,69,-67,-155,-214,-176
-72,-194,-123,140,26,-163,129,88,-69,-170,-161,-140
-45,-178,-90,110,46,-152,96,63,-52,-133,-160,-143
-50,-164,-86,108,41,-112,75,75,-62,-118,-137,-117
-50,-127,-88,84,15,-95,77,53,-50,-96,-105,-79
-64,-135,-74,63,31,-81,55,55,-67,-82,-94,-81
-25,-102,-56,67,12,-72,50,41,-40,-84,-106,-63
-21,-71,-66,59,20,-77,40,21,-11,-59,-60,-89
-48,-53,-80,66,20,-71,47,36,-26,-52,-70,-56
-25,-56,-45,29,13,-50,32,-5,-13,-49,-43,-55
-20,-64,-22,44,12,-59,42,42,-21,-47,-39,-28
-24,-52,-38,42,12,-57,20,4,6,-35,-25,-41
-26,-40,-36,37,11,-22,31,1,-20,-39,-27,-43
-9,-44,-30,23,-8,-26,31,40,-15,-32,-33,-15
7,-33,-46,53,18,-33,34,26,0,-28,-32,-47
-20,-31,-8,10,13,-7,3,3,-4,-46,-28,-18
1,-36,-29,11,22,-14,27,40,-5,-8,-33,-22
-19,-33,-32,14,10,-26,15,9,-12,-17,-25,-21
-25,-43,8,9,-3,-25,18,-1,-1,-39,-39,-40
-2,-32,-19,26,3,-23,-2,-8,24,-29,-18,-29
-4,-35,-2,20,-12,-15,17,2,-38,-42,-14,-39
-21,-12,-17,11,18,-15,-2,-15,-2,-24,-5,-30
-31,-27,-33,-5,-6,-47,15,8,-9,-23,-38,-18
-21,-23,-13,15,6,-8,24,13,-36,-38,-2,-18
13,-27,-5,26,-3,-18,10,16,1,-18,-13,-40
-9,-24,-19,-18,3,-18,22,9,0,-10,-7,-13
20,-12,10,-1,-1,18,11,14,-11,8,-12,-29
-6,-28,-7,4,-6,-10,34,-2,21,-15,13,-12
16,-6,-24,8,-4,-1,-9,18,13,11,12,-9
-4,14,15,-7,26,-12,32,-6,5,3,7,28
0,-11,-28,0,12,9,8,16,-10,-3,-9,4
4,-5,9,-21,6,0,16,-21,7,16,0,10
-5,37,11,-15,-12,12,-18,2,-14,-11,16,11
-1,30,33,-38,-29,24,-7,2,-3,16,20,10
12,6,16,-18,-27,37,-20,-9,3,-2,18,2
27,12,20,-22,-12,35,-34,-14,14,27,50,11
-13,24,6,-18,4,35,-27,-11,13,24,32,29
7,35,36,-20,17,-2,0,-14,20,6,23,30
4,38,33,-44,-17,12,-34,-6,-1,13,29,27
-7,48,18,-24,-12,46,-17,-11,12,46,35,19
17,58,31,-34,1,23,-32,-11,17,52,38,43
25,63,29,-56,8,52,-42,-5,8,43,43,55
27,62,43,-26,-16,60,-69,-32,29,76,70,58
20,59,28,-43,-3,72,-27,-30,-1,57,47,52
15,78,75,-57,-3,54,-32,-39,30,77,74,70
27,76,58,-57,-6,82,-42,-31,33,33,61,46
31,89,47,-45,-14,87,-40,-38,24,59,74,61
21,112,79,-45,-9,63,-59,-36,34,89,90,84
33,111,73,-61,-23,95,-40,-53,41,104,113,67
28,117,85,-61,-37,83,-75,-49,32,99,93,78
62,112,62,-76,-18,84,-69,-55,54,86,99,109
35,130,84,-101,-35,134,-74,-47,52,103,117,101
52,145,93,-92,-17,133,-82,-49,30,131,136,99
55,146,75,-102,-22,145,-72,-62,53,103,144,114
