I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
385,1042,690,-687,-133,893,-564,-428,321,780,932,736
363,1014,662,-719,-149,863,-552,-410,313,775,936,731
350,963,643,-650,-136,825,-546,-397,282,746,885,698
335,921,599,-632,-151,741,-499,-367,250,691,808,652
290,847,526,-570,-112,695,-453,-352,258,597,747,574
247,743,458,-499,-108,593,-390,-274,213,527,643,493
198,603,390,-421,-88,505,-327,-237,182,452,535,412
157,488,307,-346,-77,400,-242,-185,150,353,414,325
137,362,243,-249,-45,282,-193,-140,109,282,320,239
77,229,152,-160,-11,207,-119,-103,84,189,201,167
46,117,85,-76,-23,102,-60,-57,42,76,99,80
17,21,0,-25,15,16,-12,3,10,22,35,9
-25,-60,-40,42,18,-39,9,4,8,-51,-57,-54
-54,-149,-105,99,7,-127,93,58,-67,-113,-113,-76
-70,-190,-143,161,21,-181,105,79,-66,-162,-209,-139
-86,-266,-166,175,41,-206,159,74,-82,-188,-229,-167
-106,-275,-183,206,59,-243,163,123,-85,-218,-267,-213
-113,-329,-221,221,39,-264,185,123,-96,-241,-270,-237
-128,-297,-208,233,50,-278,159,135,-100,-229,-307,-221
-99,-325,-207,207,39,-269,179,122,-82,-241,-272,-231
-108,-325,-185,209,34,-266,196,122,-104,-236,-274,-205
-104,-311,-190,193,37,-249,161,114,-79,-231,-279,-193
-61,-274,-178,163,44,-228,160,109,-81,-201,-234,-179
-95,-267,-155,166,15,-181,126,110,-74,-184,-214,-158
-73,-228,-146,154,51,-184,129,84,-85,-177,-196,-165
-78,-196,-127,133,38,-169,121,67,-46,-146,-171,-134
-53,-157,-109,129,27,-137,75,70,-47,-126,-154,-98
-32,-160,-92,92,17,-141,55,63,-24,-117,-129,-102
-23,-121,-67,88,3,-102,75,52,-52,-100,-90,-92
-43,-98,-77,79,21,-105,56,45,-73,-91,-104,-75
-42,-98,-47,66,9,-85,40,22,-10,-90,-77,-73
-18,-79,-49,52,22,-55,58,55,-30,-48,-80,-70
-30,-68,-39,35,5,-61,33,19,-34,-74,-54,-49
-20,-94,-52,33,8,-47,29,49,-13,-20,-54,-34
2,-63,-30,43,-9,-46,56,26,-29,-48,-50,-49
-16,-55,-20,57,2,-62,32,11,-8,-43,-44,-33
-2,-51,-41,16,15,-41,32,26,-8,-31,-15,-27
-16,-30,-16,18,25,-22,17,15,-22,-26,-47,-49
-1,-71,2,44,1,-46,12,14,-20,-19,-28,-21
8,-42,-33,45,-3,-26,15,6,-17,-6,-40,-16
-16,-41,-31,40,-1,-30,13,-5,-19,-19,-40,-36
-15,-34,-22,8,11,-31,25,11,8,-25,-15,4
3,-13,2,23,7,-30,37,1,-1,-28,-25,-6
9,-11,-16,28,13,-3,23,-7,3,-24,-38,-5
-13,-17,-16,24,-4,-13,12,18,1,-3,-33,2
-3,-14,-23,30,26,-24,-4,3,7,-2,-33,-21
-10,-21,-16,14,2,-26,-10,6,-6,-19,-30,-18
9,-5,-11,16,15,-8,29,7,7,-11,0,-21
6,-11,-13,25,0,10,21,4,-20,-8,-25,-19
-7,-7,11,14,-24,-5,15,10,-2,2,5,-27
-11,-9,16,-18,-2,5,-10,11,-19,11,-1,-11
14,11,-39,1,19,0,-15,13,-15,5,22,7
-16,8,3,3,-22,20,-44,4,-13,18,16,16
13,39,11,13,-13,8,-8,-20,10,5,9,28
-13,45,1,-23,7,18,4,-1,27,21,17,4
37,15,12,-19,-18,22,-18,-20,3,23,6,19
25,23,31,-24,10,35,-7,-11,14,41,22,25
22,41,38,-20,-1,19,-14,-34,2,12,39,2
9,51,36,-21,-11,29,-23,-54,15,34,61,29
22,32,22,-20,-4,23,-30,-28,11,33,38,45
7,45,36,-68,-19,74,-34,-33,13,50,52,24
21,47,58,-33,-17,44,-39,-19,8,48,66,49
43,52,19,-59,-11,68,-48,-20,25,68,60,64
25,71,46,-47,-15,84,-52,-19,32,66,76,55
39,88,64,-56,-20,75,-31,-38,40,67,88,46
22,87,60,-45,-1,65,-65,-17,25,74,69,68
53,117,61,-65,-14,66,-90,-69,34,60,90,75
43,114,68,-69,-25,95,-56,-35,30,84,117,77
50,142,85,-96,-15,105,-69,-49,30,90,121,96
55,140,71,-93,2,94,-85,-30,38,107,125,78
51,141,104,-116,-6,111,-66,-56,33,84,121,113
49,148,86,-99,-49,111,-78,-67,56,115,135,124
38,186,109,-100,-27,158,-97,-73,24,126,145,108
61,176,87,-121,-42,162,-89,-78,47,133,158,130
45,154,111,-131,-21,143,-108,-82,57,150,179,131
58,196,133,-124,-21,150,-105,-76,63,120,181,145
61,210,139,-135,-46,161,-106,-68,69,153,178,130
69,222,152,-137,-56,181,-113,-61,71,146,193,158
87,231,146,-151,-38,159,-100,-96,54,172,212,144
69,252,145,-164,-53,196,-143,-102,67,158,195,162
79,238,174,-179,-42,192,-137,-101,99,173,210,165
93,261,163,-165,-34,220,-162,-84,64,190,231,164
79,257,192,-180,-21,221,-158,-101,84,186,238,204
79,256,176,-165,-30,246,-145,-122,61,199,247,203
94,271,194,-199,-38,243,-164,-106,80,205,267,185
124,299,179,-197,-57,232,-146,-119,90,219,270,210
112,311,201,-229,-48,250,-160,-127,109,231,253,218
108,303,203,-213,-40,264,-173,-121,90,258,272,211
121,303,207,-221,-33,251,-185,-129,95,260,273,232
122,334,205,-228,-22,264,-191,-136,91,222,304,227
112,343,202,-211,-54,280,-159,-109,87,237,302,224
108,334,219,-206,-43,302,-196,-142,112,245,306,251
131,338,232,-246,-43,288,-197,-129,110,242,311,250
119,373,224,-230,-54,291,-207,-144,129,237,310,245
119,360,214,-238,-65,300,-199,-129,113,274,326,254
150,354,255,-244,-62,317,-193,-136,112,263,331,252
125,347,250,-249,-69,331,-215,-146,122,266,334,241
131,372,258,-254,-55,310,-211,-166,128,292,348,258
146,376,233,-238,-51,313,-214,-167,121,280,347,260
