I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
369,1074,701,-730,-158,856,-579,-414,313,798,958,735
363,1037,676,-729,-179,873,-580,-399,311,785,944,738
328,992,645,-678,-171,845,-546,-408,295,755,922,695
336,903,602,-645,-137,783,-485,-383,279,704,849,676
291,847,566,-575,-121,712,-463,-337,280,653,775,611
277,754,506,-513,-127,636,-415,-317,238,571,661,520
233,664,431,-442,-88,537,-373,-266,184,478,558,458
188,515,340,-348,-93,454,-266,-219,160,396,474,365
163,416,260,-278,-73,332,-220,-168,123,328,362,293
107,300,202,-216,-26,228,-160,-127,98,225,272,206
59,162,122,-125,-21,143,-103,-77,27,140,171,130
30,90,66,-61,4,58,-16,-20,39,52,95,60
-6,21,5,16,24,-9,16,27,-23,-5,-15,3
-24,-97,-60,51,9,-84,47,33,-18,-68,-72,-63
-68,-153,-90,93,21,-139,55,70,-56,-125,-132,-94
-73,-205,-117,164,26,-166,118,104,-62,-161,-190,-149
-78,-240,-165,170,38,-208,135,116,-77,-173,-238,-161
-105,-257,-199,189,18,-223,147,111,-87,-200,-260,-206
-113,-274,-203,195,43,-226,173,103,-106,-199,-259,-204
-102,-299,-191,213,13,-257,168,108,-88,-209,-244,-195
-118,-289,-194,206,35,-230,164,120,-78,-203,-281,-175
-81,-280,-187,205,66,-223,166,134,-90,-193,-240,-201
-119,-261,-157,168,42,-214,156,114,-89,-201,-250,-196
-87,-229,-173,177,38,-211,137,91,-70,-191,-207,-162
-60,-194,-137,159,36,-196,142,102,-67,-174,-205,-183
-60,-195,-115,138,21,-154,114,74,-57,-143,-170,-137
-51,-190,-123,94,28,-136,91,73,-59,-137,-142,-108
-31,-151,-102,109,6,-97,81,70,-55,-118,-117,-99
-33,-131,-74,82,12,-112,48,65,-31,-97,-96,-96
-25,-115,-75,81,21,-87,53,35,-24,-51,-102,-54
-32,-64,-68,54,-2,-56,46,49,-7,-68,-70,-70
-34,-87,-45,31,13,-65,40,25,-50,-55,-96,-52
-16,-66,-56,57,-5,-68,15,27,-12,-44,-61,-40
-28,-73,-29,23,12,-54,31,23,-2,-38,-41,-48
-16,-46,-30,20,25,-49,51,7,-3,-54,-31,-43
-19,-25,-18,20,4,-45,25,6,-27,-12,-24,-32
-42,-19,-26,23,17,5,1,35,-46,-38,-41,-51
-20,-30,-16,64,11,-44,17,-10,20,-4,-20,-26
-14,-29,-31,3,4,-7,13,6,-2,-52,-14,-6
-8,-34,-25,14,-6,-4,18,22,-8,-30,-26,-28
10,2,-23,16,23,-9,34,12,-15,-11,-20,-21
1,-4,-9,24,-1,-12,14,-3,-22,-9,-6,-12
4,-24,-4,19,18,-2,8,-3,-1,-16,-15,-10
1,-16,-24,8,-5,2,3,5,-8,-4,16,-2
3,-31,-9,22,6,-11,16,12,-5,-3,6,-15
4,-19,-2,4,14,-25,3,-11,-10,-19,-20,1
8,-8,2,-3,-13,-29,10,-2,1,5,-13,4
0,10,-4,-21,12,-9,-1,28,24,-2,-3,0
-15,-1,-17,-6,3,-8,20,17,0,-8,-2,-34
5,-8,7,4,-8,4,4,-14,-10,-21,-10,10
2,7,-5,-7,15,1,4,1,-13,5,8,0
-10,-1,-1,6,2,-11,4,-24,0,13,5,10
2,1,-6,-9,-7,6,-6,13,7,-3,-13,9
9,-4,3,-17,-1,-2,2,0,12,32,19,42
-1,20,17,-28,13,11,-15,-12,8,31,17,6
3,18,1,-17,-7,24,-16,16,-5,20,24,9
-4,14,18,-10,-15,24,-6,-7,12,3,29,15
1,26,-11,-14,-12,44,-14,-14,15,12,41,36
-8,28,21,-28,-5,47,-41,-24,-4,17,47,4
10,32,26,-3,-3,42,-32,-27,-7,36,38,19
22,48,33,-51,-6,51,-33,-24,7,45,46,28
19,42,29,-52,7,66,-31,-27,-9,62,35,50
33,56,30,-21,-40,25,-32,-27,9,55,41,49
16,66,36,-48,-6,57,-17,-11,33,43,51,65
15,41,72,-54,12,45,-35,-28,29,57,65,48
11,101,68,-63,-14,74,-46,-24,25,66,60,50
26,89,61,-62,5,76,-54,-33,13,62,65,53
18,87,68,-47,-19,78,-61,-35,31,59,101,75
61,98,69,-85,-23,61,-32,-55,17,81,104,63
38,109,52,-66,-42,86,-54,-56,26,78,98,73
46,114,82,-81,-38,84,-67,-67,26,94,118,94
46,107,85,-110,-15,123,-75,-52,55,83,125,74
18,143,91,-97,-22,124,-57,-48,39,89,120,85
