I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
336,991,648,-652,-165,799,-538,-376,298,755,891,708
354,974,621,-661,-136,804,-531,-395,305,734,895,656
334,934,595,-621,-142,776,-527,-375,295,686,836,664
304,860,577,-599,-141,734,-484,-359,271,627,769,623
288,793,501,-551,-100,652,-441,-331,239,608,710,550
233,735,477,-472,-115,564,-381,-282,220,522,617,515
214,598,376,-406,-84,500,-335,-238,166,421,564,421
165,509,311,-331,-81,420,-295,-208,145,381,465,353
128,357,241,-276,-55,315,-227,-145,108,269,352,253
109,261,166,-174,-29,220,-146,-110,92,183,245,164
49,169,111,-101,-14,120,-84,-49,59,132,149,128
9,80,20,-53,-17,31,-40,-38,0,35,66,43
-14,-29,-26,24,-6,-1,-4,-15,1,-6,4,3
-25,-88,-47,56,38,-72,35,40,-30,-80,-72,-38
-64,-148,-62,108,16,-135,97,51,-47,-108,-154,-116
-74,-187,-146,160,30,-150,117,68,-64,-158,-181,-153
-87,-244,-123,174,51,-188,120,109,-69,-192,-212,-187
-101,-263,-181,182,29,-207,151,75,-90,-191,-255,-184
-95,-267,-173,203,45,-229,165,110,-93,-213,-255,-192
-107,-283,-178,167,28,-239,158,87,-73,-197,-252,-187
-102,-272,-181,166,31,-239,173,127,-84,-201,-270,-188
-70,-248,-164,199,65,-223,153,121,-89,-215,-237,-171
-89,-255,-164,181,56,-212,139,94,-84,-175,-237,-165
-70,-226,-146,147,28,-197,139,90,-73,-175,-218,-149
-64,-203,-106,123,49,-214,117,86,-54,-128,-165,-145
-62,-171,-131,120,17,-162,95,56,-51,-154,-163,-122
-70,-160,-91,108,18,-131,72,70,-38,-113,-153,-105
-44,-136,-88,93,14,-127,69,59,-26,-100,-116,-106
-20,-117,-81,71,4,-95,63,68,-34,-103,-128,-73
-43,-112,-54,51,9,-56,51,48,-31,-81,-89,-87
-22,-94,-98,58,17,-62,42,23,-42,-43,-79,-65
-24,-77,-63,58,47,-53,7,18,-4,-52,-62,-58
-45,-63,-32,38,5,-40,36,17,-27,-34,-33,-37
-4,-51,-65,27,5,-26,14,24,-22,-50,-41,-39
-38,-53,-22,30,25,-52,9,21,-9,-28,-30,-26
-23,-33,-32,7,26,-43,20,12,-3,-22,-33,-1
10,-42,-12,38,14,-25,14,33,-18,-28,-25,-14
21,-18,-12,15,8,-22,15,21,-16,-29,-43,-33
13,-30,-1,4,-5,1,18,8,-16,-19,-16,-36
-2,-43,-24,26,-1,-19,21,-1,0,-19,1,-8
-1,-17,-30,20,0,-19,-4,-3,-7,-14,-9,0
-12,-15,2,25,-9,2,25,13,4,-10,-8,-18
-10,-26,-14,6,-12,-7,11,22,22,10,-9,-9
5,-4,0,24,-36,-10,14,6,10,-3,-5,-3
12,-16,-22,6,-13,3,-3,-10,-20,-5,-13,-14
-5,2,-1,-10,13,10,4,25,10,-8,-10,4
-21,8,-2,9,15,-22,12,2,-21,8,-10,-2
6,4,8,-9,-14,8,24,21,17,-22,9,0
12,4,-13,0,-4,4,-4,7,4,23,-2,14
-18,20,9,-10,-1,29,-40,-11,-10,15,6,-7
-8,3,9,7,-17,14,3,-17,-2,8,-18,25
-2,17,-4,-6,19,18,-12,8,2,6,32,14
8,16,19,-4,-3,10,-4,-21,7,-2,14,-4
11,9,8,-31,0,18,1,-15,9,14,3,24
24,17,28,-39,17,18,-9,-16,-22,13,22,26
8,29,3,-17,-24,19,-34,-7,13,16,23,16
31,23,-9,-22,-30,12,-20,-5,-20,30,30,47
16,25,31,-26,-2,23,-13,-12,14,29,30,40
21,41,26,-25,-10,35,-31,-9,23,28,28,28
12,50,12,-48,-13,41,-25,-38,20,48,47,14
7,64,48,-17,-11,36,-37,-9,19,44,44,24
49,49,34,-22,3,42,-31,-12,10,18,72,82
44,71,25,-25,-7,61,-49,-1,33,40,57,44
29,72,48,-49,10,63,-29,-24,18,30,55,41
26,80,39,-32,7,81,-32,-4,9,48,41,45
25,96,59,-67,-27,82,-60,-46,21,63,73,63
49,73,62,-48,-8,76,-65,-39,19,59,84,70
40,114,53,-69,-18,75,-53,-79,44,77,92,66
22,110,71,-50,-19,74,-59,-35,52,89,100,101
56,97,68,-65,-50,80,-55,-52,30,87,99,89
45,111,83,-96,-43,104,-48,-41,45,80,100,106
51,113,74,-111,-19,90,-72,-46,4,109,95,90
56,145,97,-90,-19,128,-90,-53,39,102,121,76
48,148,81,-79,-42,113,-78,-53,40,132,123,108
70,132,87,-104,-15,124,-58,-61,49,115,133,95
24,161,106,-108,-3,144,-97,-62,55,109,161,112
48,177,96,-120,-23,147,-91,-81,45,134,148,126
95,186,99,-142,-44,137,-87,-84,69,120,168,130
56,182,102,-119,-34,166,-96,-68,55,121,185,120
62,182,97,-144,-34,164,-120,-69,80,136,155,103
62,192,116,-146,-47,173,-120,-87,83,148,171,163
67,217,129,-148,-41,167,-118,-82,74,173,194,140
75,203,135,-141,-35,184,-95,-121,71,170,208,160
65,233,152,-138,-30,158,-91,-82,67,172,187,146
75,244,158,-157,-43,202,-142,-83,75,191,197,181
62,234,171,-170,-18,201,-135,-78,67,186,225,151
92,258,147,-187,-39,215,-146,-93,67,197,244,165
89,262,184,-180,-43,230,-164,-92,81,192,221,176
99,274,190,-183,-71,246,-153,-133,90,198,261,176
85,268,175,-189,-21,250,-155,-105,93,207,262,195
97,298,195,-215,-30,248,-162,-125,83,218,278,213
102,295,203,-209,-38,243,-172,-127,90,233,256,195
98,304,185,-232,-52,246,-158,-118,87,200,276,249
111,297,188,-216,-50,271,-144,-107,107,226,280,229
110,314,197,-211,-38,285,-178,-130,96,261,284,240
104,353,213,-213,-51,268,-184,-136,108,256,279,225
121,337,203,-232,-63,257,-175,-142,113,239,316,233
118,334,221,-211,-32,296,-193,-145,92,266,302,225
109,335,225,-246,-51,276,-183,-127,88,258,299,212
131,353,235,-253,-46,297,-187,-149,109,263,307,232
115,370,253,-246,-53,323,-177,-150,114,266,334,244
129,350,247,-246,-61,316,-209,-133,95,267,334,260
128,364,233,-264,-46,288,-196,-143,123,279,319,266
121,400,244,-268,-51,311,-206,-151,127,260,347,273
129,357,226,-258,-57,313,-207,-121,121,285,346,252
121,373,238,-252,-84,298,-216,-167,117,271,337,247
125,389,255,-255,-72,312,-217,-186,109,298,340,264
127,373,255,-263,-60,317,-193,-154,95,295,355,260
138,370,223,-263,-46,329,-213,-150,101,294,337,278
120,412,256,-237,-70,298,-205,-137,120,296,361,276
134,378,264,-257,-53,311,-199,-160,90,290,359,276
141,405,246,-269,-58,305,-207,-140,121,276,343,267
147,382,245,-272,-67,318,-200,-157,90,280,333,261
136,364,260,-255,-64,316,-217,-142,113,275,340,263
127,390,255,-245,-47,292,-209,-141,90,260,327,270
138,370,248,-260,-74,310,-200,-145,117,266,343,261
116,367,233,-261,-45,301,-192,-126,116,304,328,258
151,361,232,-224,-51,287,-173,-137,101,286,298,261
140,358,237,-245,-58,284,-195,-143,88,275,314,242
130,345,235,-226,-51,287,-190,-147,111,277,339,239
136,347,221,-253,-60,270,-198,-155,104,282,303,244
