I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
374,1042,682,-711,-169,849,-563,-428,296,788,930,717
348,1026,665,-691,-152,847,-553,-380,293,770,927,732
354,1009,654,-672,-174,805,-531,-398,308,739,897,687
318,916,590,-637,-123,777,-505,-379,286,663,843,642
303,845,559,-581,-138,687,-466,-334,252,660,758,567
257,719,481,-508,-126,628,-399,-282,220,572,688,526
236,634,424,-425,-87,534,-363,-264,191,480,565,460
185,527,345,-366,-68,432,-298,-224,141,418,496,361
158,419,287,-275,-69,339,-219,-168,104,327,370,298
103,304,221,-210,-51,245,-174,-102,96,226,257,219
74,177,132,-135,-32,159,-106,-65,63,146,181,127
13,83,69,-66,-25,74,-65,-60,22,81,97,59
16,2,-15,-5,3,6,5,-7,10,4,-15,29
-26,-89,-51,29,-4,-72,28,48,-38,-53,-85,-75
-73,-166,-109,88,28,-133,71,99,-60,-122,-136,-116
-68,-221,-138,125,44,-173,124,73,-68,-198,-191,-148
-97,-243,-158,175,35,-232,152,97,-75,-208,-253,-189
-114,-269,-199,197,34,-226,180,144,-77,-217,-251,-214
-109,-297,-219,220,52,-258,179,136,-89,-223,-297,-232
-112,-328,-206,218,40,-263,180,152,-104,-233,-294,-227
-105,-332,-212,229,26,-285,155,150,-108,-236,-297,-250
-100,-316,-234,201,58,-271,178,119,-101,-226,-287,-206
-105,-304,-225,218,28,-270,196,126,-116,-255,-294,-226
-91,-287,-193,186,44,-210,162,102,-71,-214,-285,-215
-85,-276,-178,168,41,-214,135,111,-71,-183,-250,-186
-90,-248,-130,157,47,-238,122,112,-68,-210,-227,-179
-74,-232,-149,187,32,-171,103,80,-56,-159,-188,-175
-64,-196,-144,140,26,-186,102,79,-72,-162,-196,-137
-74,-189,-139,105,38,-175,70,72,-64,-135,-152,-115
-79,-168,-89,105,11,-132,81,70,-41,-136,-119,-101
-68,-140,-78,110,13,-109,87,73,-57,-104,-117,-105
-48,-131,-84,77,29,-86,54,54,-34,-85,-95,-66
-30,-101,-62,88,-15,-92,57,39,-17,-78,-108,-72
-29,-61,-35,78,11,-78,60,44,-23,-66,-80,-68
-13,-91,-54,43,24,-78,54,46,-25,-48,-73,-73
-30,-84,-40,43,25,-64,29,43,-13,-56,-72,-29
-22,-69,-48,57,12,-58,20,36,-13,-22,-65,-33
-6,-65,-31,24,12,-59,22,21,-20,-59,-44,-50
-14,-73,-42,26,7,-45,37,27,22,-38,-63,-53
-14,-54,-29,21,18,-42,8,27,-13,-53,-71,-29
-42,-51,-28,39,6,-44,25,19,-30,-29,-45,-27
-12,-44,-27,45,21,-33,16,-3,-17,-43,-40,-15
-23,-25,-43,32,30,-32,36,16,-13,-10,-34,-46
-22,-18,-40,19,6,-19,26,22,10,-39,-30,-37
-25,-32,-26,48,-3,-37,23,21,-21,-49,-44,-36
-3,-56,-20,25,-17,-23,12,32,8,-27,-33,-39
0,-31,-27,15,6,-28,24,8,-8,-32,-20,-24
-18,-45,-27,49,3,-30,40,18,-4,-26,-26,-40
10,-35,-30,36,29,-21,17,17,-13,-11,-16,-27
-15,-37,-18,22,-4,-33,15,13,13,-15,-27,-22
-31,-50,-23,15,15,-31,29,29,-15,-26,-30,-7
-14,-28,-14,37,5,-1,2,21,-7,-21,-3,-37
-8,-17,-25,14,-11,-8,17,9,6,-21,6,6
-23,-29,-10,-8,-14,-3,27,-5,-5,-20,-43,10
-22,-4,4,-7,2,-11,4,7,-2,-11,-3,-1
5,10,1,28,3,-4,-9,21,9,-16,20,5
1,-15,-3,0,9,-20,1,-6,12,-14,2,-4
16,1,11,10,11,3,-13,18,11,-11,-9,-2
11,29,7,-28,-9,-7,17,0,-6,19,19,10
2,21,23,13,2,23,-26,23,4,20,9,0
19,-5,-21,-2,-3,11,-17,9,0,36,-3,3
-12,12,18,-16,-17,16,-11,-16,-20,-3,33,22
14,35,-2,-16,-4,17,-13,-10,-3,26,22,17
19,11,-7,-16,-23,2,-32,-17,-5,19,26,5
11,20,31,-26,-4,40,-20,-4,5,28,25,16
9,1,27,-31,-20,21,-23,-33,14,17,13,18
8,19,26,-41,16,47,-43,-19,0,18,61,32
2,25,40,-45,-15,29,-30,-18,8,47,45,51
19,52,36,-44,-15,57,-34,-16,-7,55,59,34
25,53,38,-39,-12,38,-39,-25,16,53,57,37
42,71,39,-47,4,61,-38,-40,33,44,51,66
33,47,41,-77,-23,48,-36,-24,29,70,81,38
22,67,48,-82,12,61,-50,-30,30,72,75,64
60,81,60,-29,-17,62,-33,-43,14,95,98,58
36,91,74,-62,-4,100,-18,-45,18,68,79,67
40,109,78,-72,-26,90,-62,-33,32,78,103,79
35,115,71,-70,-13,97,-63,-54,31,99,95,69
42,111,72,-65,-7,110,-65,-51,51,97,113,71
